0,1,2,3
-99.0,11,10.09,2.56
-2.2,1,0.92,5.13
-2.1,1,0.92,7.69
-2.0,1,0.92,10.26
-1.9,1,0.92,12.82
-1.8,3,2.75,15.38
-1.7,1,0.92,17.95
-1.5,2,1.83,20.51
-1.4,5,4.59,23.08
-1.3,2,1.83,25.64
-1.1,2,1.83,28.21
-1.0,2,1.83,30.77
-0.9,1,0.92,33.33
-0.8,4,3.67,35.9
-0.7,1,0.92,38.46
-0.6,4,3.67,41.03
-0.5,1,0.92,43.59
-0.4,2,1.83,46.15
-0.3,1,0.92,48.72
-0.2,2,1.83,51.28
-0.1,3,2.75,53.85
0.0,3,2.75,56.41
0.1,2,1.83,58.97
0.2,4,3.67,61.54
0.3,5,4.59,64.1
0.4,6,5.5,66.67
0.5,1,0.92,69.23
0.6,6,5.5,71.79
0.7,5,4.59,74.36
0.8,3,2.75,76.92
0.9,5,4.59,79.49
1.0,4,3.67,82.05
1.1,5,4.59,84.62
1.2,4,3.67,87.18
1.3,1,0.92,89.74
1.4,1,0.92,92.31
1.5,1,0.92,94.87
1.8,1,0.92,97.44
2.0,1,0.92,100.0
