0,1,2,3,4
05/01/2015,0.57,-99.0,-99.0,-99.0
06/01/2015,1.38,-99.0,-99.0,-99.0
07/01/2015,0.56,1.54,-99.0,-99.0
08/01/2015,-1.11,1.45,-99.0,-99.0
09/01/2015,0.86,0.13,-99.0,-99.0
10/01/2015,-0.68,-0.93,1.2,-99.0
11/01/2015,1.63,1.45,1.63,-99.0
12/01/2015,2.03,1.94,1.63,-99.0
01/01/2016,-1.72,2.01,1.46,-99.0
02/01/2016,-0.69,1.46,1.83,-99.0
03/01/2016,-2.29,-2.2,1.19,-99.0
04/01/2016,0.33,-1.6,1.85,2.0
05/01/2016,-0.44,-0.69,0.56,1.78
06/01/2016,-2.08,-0.75,-1.77,0.24
07/01/2016,0.8,-0.63,-1.09,0.36
08/01/2016,1.37,0.08,-0.27,0.93
09/01/2016,1.67,1.54,0.5,1.02
10/01/2016,-2.14,0.9,-0.19,0.88
11/01/2016,-0.08,-0.38,-0.14,0.35
12/01/2016,-0.75,-1.39,0.33,-1.02
01/01/2017,-1.07,-1.07,-0.28,-1.11
02/01/2017,-1.1,-2.28,-1.63,-1.09
03/01/2017,-0.45,-1.25,-2.29,-0.99
04/01/2017,2.01,1.44,-0.23,-0.33
05/01/2017,0.82,1.59,0.37,0.05
06/01/2017,0.23,1.33,0.74,0.91
07/01/2017,-0.67,-0.03,0.66,0.24
08/01/2017,-1.43,-1.4,0.52,-0.54
09/01/2017,-0.8,-1.5,0.43,-0.85
10/01/2017,-0.22,-1.69,-0.9,-0.66
11/01/2017,-1.33,-1.73,-1.75,-0.77
12/01/2017,-1.57,-1.48,-2.18,-0.84
01/01/2018,-0.08,-1.59,-2.15,-0.81
02/01/2018,1.39,0.04,-0.98,-0.04
03/01/2018,0.92,1.12,-0.4,0.16
04/01/2018,-1.16,0.74,-1.06,-1.39
05/01/2018,-0.8,-0.74,-0.75,-2.05
06/01/2018,0.07,-0.62,0.05,-2.15
07/01/2018,-2.08,-1.36,-0.73,-1.97
08/01/2018,-0.09,-1.64,-1.46,-1.77
09/01/2018,-0.6,-1.45,-1.63,-1.51
10/01/2018,0.43,-0.19,-1.48,-1.44
11/01/2018,0.72,0.43,-0.83,-0.82
12/01/2018,0.85,0.83,-0.22,-0.07
01/01/2019,-0.01,0.74,0.45,-0.14
02/01/2019,0.81,0.89,0.83,-0.41
03/01/2019,1.31,0.81,1.18,-0.44
04/01/2019,0.31,1.37,1.44,-0.21
05/01/2019,0.17,0.62,1.12,0.04
06/01/2019,0.45,0.54,0.81,0.44
07/01/2019,-0.72,-0.13,0.54,0.64
08/01/2019,1.48,0.46,0.88,1.05
09/01/2019,-1.34,-0.02,0.37,0.92
10/01/2019,1.71,1.84,0.81,1.29
11/01/2019,-0.04,0.7,0.61,1.18
12/01/2019,-0.14,0.53,0.29,1.11
01/01/2020,1.38,0.25,1.08,1.46
02/01/2020,0.63,0.63,0.79,1.35
03/01/2020,-0.62,0.72,0.83,1.09
04/01/2020,0.07,-0.09,0.06,0.65
05/01/2020,0.28,-0.06,0.32,0.69
06/01/2020,0.38,0.42,0.67,0.79
07/01/2020,0.69,0.57,0.63,1.16
08/01/2020,-0.13,0.49,0.44,0.7
09/01/2020,0.8,0.56,0.65,0.91
10/01/2020,-0.35,-0.14,0.43,0.37
11/01/2020,0.92,0.7,0.63,0.78
12/01/2020,-0.43,0.0,0.28,0.96
01/01/2021,1.04,0.51,0.27,0.85
02/01/2021,-0.32,-0.29,0.19,0.59
03/01/2021,0.0,0.22,-0.01,0.71
04/01/2021,0.33,-0.27,0.28,0.47
05/01/2021,-1.03,-0.35,-0.66,0.11
06/01/2021,1.17,0.88,0.85,0.97
07/01/2021,0.08,0.62,0.62,0.57
08/01/2021,-1.05,0.77,0.45,0.34
09/01/2021,0.2,-0.46,0.44,0.26
10/01/2021,0.13,-0.72,0.23,0.34
11/01/2021,-1.5,-0.96,0.13,-0.09
12/01/2021,0.55,-0.23,-0.59,0.4
01/01/2022,-0.51,-0.49,-0.85,-0.02
02/01/2022,0.61,0.28,-0.4,0.24
03/01/2022,0.55,0.2,-0.24,0.31
04/01/2022,-0.26,0.2,-0.56,-0.17
05/01/2022,1.47,0.84,0.85,0.61
06/01/2022,-0.6,0.22,0.22,-0.57
07/01/2022,1.51,1.04,1.21,0.33
08/01/2022,0.25,0.67,1.17,0.57
09/01/2022,0.52,1.32,1.02,0.6
10/01/2022,0.67,0.66,1.3,0.72
11/01/2022,0.51,0.8,0.8,1.17
12/01/2022,-0.75,0.05,0.86,1.11
01/01/2023,-0.29,-0.38,-0.01,1.15
02/01/2023,0.67,-0.6,0.07,1.13
03/01/2023,0.02,0.12,-0.03,1.11
04/01/2023,-1.79,-1.22,-1.3,0.41
05/01/2023,-1.98,-1.93,-2.29,-0.62
06/01/2023,-0.88,-2.0,-1.56,-0.63
07/01/2023,-0.1,-1.61,-1.82,-1.32
08/01/2023,0.7,-0.87,-1.73,-1.29
09/01/2023,-1.32,-0.12,-1.76,-1.35
10/01/2023,0.5,0.27,-1.4,-1.51
11/01/2023,-0.85,-1.0,-1.07,-1.8
12/01/2023,0.04,-0.29,-0.4,-1.65
01/01/2024,1.26,0.0,0.05,-1.38
02/01/2024,-1.89,-0.09,-0.72,-1.77
03/01/2024,0.55,0.3,-0.22,-1.95
04/01/2024,0.16,-0.56,-0.49,-1.44
05/01/2024,0.96,0.72,0.49,-0.61
