0,1,2,3,4,5,6
08/01/2014,09/01/2014,1,-1.42,-1.42,-1.42,-1.42
01/01/2015,03/01/2015,2,-1.16,-1.66,-0.83,-0.83
10/01/2015,11/01/2015,1,-2.09,-2.09,-2.09,-2.09
01/01/2016,07/01/2016,6,-1.37,-5.83,-0.97,-0.95
11/01/2016,01/01/2017,2,-1.5,-2.43,-1.21,-1.21
02/01/2017,04/01/2017,2,-1.09,-1.11,-0.56,-0.56
11/01/2017,02/01/2018,3,-1.53,-2.52,-0.84,-0.63
04/01/2018,08/01/2018,4,-1.62,-4.73,-1.18,-1.22
06/01/2020,07/01/2020,1,-1.08,-1.08,-1.08,-1.08
08/01/2020,10/01/2020,2,-1.84,-3.53,-1.76,-1.76
02/01/2021,03/01/2021,1,-1.53,-1.53,-1.53,-1.53
09/01/2021,10/01/2021,1,-1.06,-1.06,-1.06,-1.06
01/01/2022,02/01/2022,1,-1.23,-1.23,-1.23,-1.23
06/01/2022,08/01/2022,2,-2.41,-3.58,-1.79,-1.79
04/01/2023,07/01/2023,3,-1.48,-1.71,-0.57,-0.13
03/01/2024,04/01/2024,1,-2.06,-2.06,-2.06,-2.06
