0,1,2,3
-99.0,5,4.17,2.44
-2.0,1,0.83,4.88
-1.9,2,1.67,7.32
-1.8,2,1.67,9.76
-1.7,2,1.67,12.2
-1.6,2,1.67,14.63
-1.5,2,1.67,17.07
-1.4,2,1.67,19.51
-1.3,2,1.67,21.95
-1.2,2,1.67,24.39
-1.0,3,2.5,26.83
-0.9,4,3.33,29.27
-0.8,3,2.5,31.71
-0.7,1,0.83,34.15
-0.6,5,4.17,36.59
-0.5,5,4.17,39.02
-0.4,8,6.67,41.46
-0.3,3,2.5,43.9
-0.2,3,2.5,46.34
-0.1,6,5.0,48.78
0.0,2,1.67,51.22
0.1,5,4.17,53.66
0.2,3,2.5,56.1
0.3,2,1.67,58.54
0.4,6,5.0,60.98
0.5,5,4.17,63.41
0.6,3,2.5,65.85
0.7,3,2.5,68.29
0.8,3,2.5,70.73
0.9,4,3.33,73.17
1.0,1,0.83,75.61
1.1,2,1.67,78.05
1.2,3,2.5,80.49
1.3,2,1.67,82.93
1.4,3,2.5,85.37
1.5,3,2.5,87.8
1.6,1,0.83,90.24
1.7,2,1.67,92.68
1.8,2,1.67,95.12
2.0,1,0.83,97.56
2.3,1,0.83,100.0
