0,1,2,3,4,5,6
01/01/2008,02/01/2008,1,-1.1,-1.1,-1.1,-1.1
04/01/2010,09/01/2010,5,-1.17,-3.4,-0.68,-0.75
12/01/2010,04/01/2011,4,-1.92,-4.92,-1.23,-1.08
05/01/2012,09/01/2012,4,-2.42,-6.9,-1.72,-1.86
02/01/2014,12/01/2014,10,-2.03,-10.46,-1.05,-1.15
04/01/2015,06/01/2015,2,-1.2,-1.82,-0.91,-0.91
03/01/2016,06/01/2016,3,-1.41,-3.2,-1.07,-1.31
11/01/2016,04/01/2017,5,-1.35,-5.57,-1.11,-1.31
08/01/2017,02/01/2018,6,-2.96,-11.27,-1.88,-1.91
08/01/2022,11/01/2022,3,-1.34,-2.12,-0.71,-0.43
06/01/2023,04/01/2024,10,-1.62,-6.47,-0.65,-0.62
