0,1,2,3
-99.0,2,1.01,2.13
-3.0,1,0.5,4.26
-2.4,1,0.5,6.38
-2.3,2,1.01,8.51
-2.0,2,1.01,10.64
-1.9,1,0.5,12.77
-1.8,2,1.01,14.89
-1.7,2,1.01,17.02
-1.6,1,0.5,19.15
-1.5,2,1.01,21.28
-1.4,1,0.5,23.4
-1.3,5,2.51,25.53
-1.2,5,2.51,27.66
-1.1,4,2.01,29.79
-1.0,2,1.01,31.91
-0.9,6,3.02,34.04
-0.8,11,5.53,36.17
-0.7,5,2.51,38.3
-0.6,7,3.52,40.43
-0.5,5,2.51,42.55
-0.4,6,3.02,44.68
-0.3,9,4.52,46.81
-0.2,8,4.02,48.94
-0.1,8,4.02,51.06
0.0,4,2.01,53.19
0.1,9,4.52,55.32
0.2,6,3.02,57.45
0.3,11,5.53,59.57
0.4,7,3.52,61.7
0.5,8,4.02,63.83
0.6,4,2.01,65.96
0.7,3,1.51,68.09
0.8,7,3.52,70.21
0.9,4,2.01,72.34
1.0,5,2.51,74.47
1.1,7,3.52,76.6
1.2,7,3.52,78.72
1.3,2,1.01,80.85
1.4,4,2.01,82.98
1.5,2,1.01,85.11
1.6,3,1.51,87.23
1.7,2,1.01,89.36
1.8,1,0.5,91.49
1.9,1,0.5,93.62
2.0,2,1.01,95.74
2.4,1,0.5,97.87
2.7,1,0.5,100.0
