0,1,2,3,4,5,6
05/01/2000,08/01/2000,3,-1.32,-1.62,-0.54,-0.17
12/01/2000,01/01/2001,1,-1.09,-1.09,-1.09,-1.09
01/01/2002,04/01/2002,3,-1.08,-2.17,-0.72,-0.77
10/01/2002,04/01/2003,6,-2.29,-10.65,-1.78,-1.79
04/01/2005,08/01/2006,16,-1.46,-10.31,-0.64,-0.61
11/01/2006,12/01/2006,1,-1.42,-1.42,-1.42,-1.42
12/01/2010,06/01/2011,6,-1.94,-5.96,-0.99,-1.05
09/01/2011,12/01/2011,3,-2.23,-4.26,-1.42,-1.69
07/01/2012,01/01/2013,6,-1.63,-4.45,-0.74,-0.54
08/01/2013,11/01/2013,3,-1.73,-4.16,-1.39,-1.63
01/01/2014,06/01/2014,5,-1.89,-7.27,-1.45,-1.4
03/01/2015,06/01/2015,3,-1.9,-3.81,-1.27,-1.3
04/01/2016,08/01/2016,4,-1.48,-3.47,-0.87,-0.75
11/01/2016,04/01/2017,5,-1.31,-4.31,-0.86,-1.03
09/01/2017,10/01/2017,1,-1.02,-1.02,-1.02,-1.02
05/01/2018,10/01/2018,5,-1.83,-5.4,-1.08,-1.4
10/01/2020,01/01/2021,3,-1.23,-1.61,-0.54,-0.2
01/01/2022,03/01/2022,2,-1.29,-2.24,-1.12,-1.12
08/01/2022,01/01/2023,5,-1.38,-3.87,-0.77,-0.63
05/01/2023,04/01/2024,11,-2.76,-13.95,-1.27,-1.03
