0,1,2,3,4
02/01/2000,0.98,-99.0,-99.0,-99.0
03/01/2000,-0.64,-99.0,-99.0,-99.0
04/01/2000,-0.94,-0.72,-99.0,-99.0
05/01/2000,-0.81,-1.32,-99.0,-99.0
06/01/2000,0.89,-0.17,-99.0,-99.0
07/01/2000,-0.5,-0.13,-0.39,-99.0
08/01/2000,0.1,0.24,-0.63,-99.0
09/01/2000,0.19,-0.35,-0.41,-99.0
10/01/2000,-0.54,-0.33,-0.37,-99.0
11/01/2000,0.18,-0.46,-0.02,-99.0
12/01/2000,-1.62,-1.09,-0.86,-99.0
01/01/2001,1.37,0.17,-0.32,-0.55
02/01/2001,1.65,1.52,0.46,-0.32
03/01/2001,-0.02,1.66,0.44,-0.25
04/01/2001,-0.47,0.64,0.47,-0.24
05/01/2001,1.14,0.54,0.98,0.48
06/01/2001,0.2,0.48,1.08,0.18
07/01/2001,-0.27,0.43,0.54,0.22
08/01/2001,-0.52,-0.42,-0.04,0.07
09/01/2001,0.84,-0.09,0.24,0.31
10/01/2001,0.17,0.18,0.38,0.45
11/01/2001,-0.89,0.32,-0.21,0.34
12/01/2001,-0.52,-0.67,-0.45,0.41
01/01/2002,-0.35,-1.08,-0.44,0.22
02/01/2002,0.56,-0.32,0.06,-0.04
03/01/2002,-1.66,-0.77,-0.99,-0.21
04/01/2002,1.07,0.55,-0.37,0.18
05/01/2002,1.75,1.44,1.21,0.48
06/01/2002,-1.09,0.93,0.69,0.12
07/01/2002,0.03,0.49,0.57,0.2
08/01/2002,-0.5,-0.97,0.33,0.21
09/01/2002,-0.92,-0.91,0.24,-0.26
10/01/2002,-0.21,-1.23,-0.17,-0.35
11/01/2002,-2.18,-1.94,-1.54,-0.42
12/01/2002,-1.09,-1.6,-1.58,-0.48
01/01/2003,-1.08,-2.29,-2.37,-0.51
02/01/2003,-0.41,-1.94,-2.63,-0.62
03/01/2003,-1.2,-1.65,-2.16,-0.59
04/01/2003,1.08,0.17,-1.22,-0.74
05/01/2003,-0.26,0.06,-0.63,-1.64
06/01/2003,-0.46,0.02,-0.66,-1.55
07/01/2003,-0.04,-0.52,-0.44,-1.39
08/01/2003,0.92,0.04,-0.02,-1.13
09/01/2003,1.19,0.98,0.54,-0.32
10/01/2003,-0.78,0.97,0.05,-0.43
11/01/2003,0.96,0.93,0.38,-0.07
12/01/2003,1.78,0.82,1.15,0.34
01/01/2004,-0.95,1.18,1.46,0.38
02/01/2004,-1.06,0.36,0.89,0.33
03/01/2004,0.42,-0.78,0.15,0.51
04/01/2004,-0.3,-0.86,0.32,0.11
05/01/2004,0.13,-0.06,-0.04,0.23
06/01/2004,-0.43,-0.37,-0.85,0.22
07/01/2004,-0.31,-0.43,-0.7,0.15
08/01/2004,1.5,0.29,0.1,0.39
09/01/2004,-0.95,0.23,-0.21,-0.25
10/01/2004,1.35,1.21,0.26,0.29
11/01/2004,0.85,0.62,0.43,0.27
12/01/2004,-0.51,1.21,0.71,-0.1
01/01/2005,1.5,0.88,1.51,0.22
02/01/2005,0.6,0.89,0.9,0.43
03/01/2005,-1.28,0.46,1.07,0.23
04/01/2005,-0.52,-1.05,-0.08,0.16
05/01/2005,-0.98,-1.39,-0.89,-0.14
06/01/2005,0.39,-0.47,-0.44,0.12
07/01/2005,-0.51,-0.53,-0.85,0.08
08/01/2005,-0.23,-0.27,-1.13,-0.6
09/01/2005,0.09,-0.61,-0.78,-0.3
10/01/2005,0.02,-0.34,-0.71,-0.72
