0,1,2,3,4,5,6
12/01/2000,02/01/2001,2,-2.31,-3.43,-1.72,-1.72
04/01/2001,07/01/2001,3,-1.53,-2.78,-0.93,-0.84
07/01/2002,09/01/2002,2,-1.69,-1.75,-0.88,-0.88
01/01/2003,02/01/2003,1,-2.12,-2.12,-2.12,-2.12
03/01/2003,05/01/2003,2,-1.65,-2.34,-1.17,-1.17
09/01/2004,10/01/2004,1,-1.73,-1.73,-1.73,-1.73
05/01/2005,07/01/2005,2,-2.65,-2.95,-1.48,-1.48
10/01/2005,01/01/2006,3,-2.28,-5.11,-1.7,-1.73
03/01/2007,09/01/2007,6,-2.33,-7.39,-1.23,-1.16
08/01/2010,11/01/2010,3,-2.28,-4.18,-1.39,-1.57
01/01/2011,02/01/2011,1,-2.47,-2.47,-2.47,-2.47
07/01/2011,10/01/2011,3,-2.27,-3.58,-1.19,-1.14
04/01/2012,09/01/2012,5,-2.6,-9.01,-1.8,-2.31
02/01/2017,03/01/2017,1,-1.62,-1.62,-1.62,-1.62
09/01/2022,12/01/2022,3,-1.61,-2.95,-0.98,-0.85
