0,1,2,3,4,5,6
06/01/2006,07/01/2006,1,-1.63,-1.63,-1.63,-1.63
07/01/2007,09/01/2007,2,-1.7,-3.1,-1.55,-1.55
01/01/2008,02/01/2008,1,-1.8,-1.8,-1.8,-1.8
10/01/2010,11/01/2010,1,-2.2,-2.2,-2.2,-2.2
12/01/2010,02/01/2011,2,-2.13,-3.87,-1.94,-1.94
04/01/2012,09/01/2012,5,-3.13,-6.0,-1.2,-1.0
05/01/2014,06/01/2014,1,-1.52,-1.52,-1.52,-1.52
08/01/2014,10/01/2014,2,-1.84,-2.08,-1.04,-1.04
09/01/2017,02/01/2018,5,-1.83,-4.22,-0.84,-0.6
06/01/2022,08/01/2022,2,-2.49,-4.16,-2.08,-2.08
04/01/2023,07/01/2023,3,-1.64,-2.87,-0.96,-1.07
