0,1,2,3,4,5,6
08/01/2006,11/01/2006,3,-1.19,-2.36,-0.79,-0.7
07/01/2007,02/01/2008,7,-2.04,-6.66,-0.95,-0.9
12/01/2010,04/01/2011,4,-1.6,-4.75,-1.19,-1.4
03/01/2012,02/01/2013,11,-2.65,-13.97,-1.27,-1.08
01/01/2014,06/01/2014,5,-1.76,-7.09,-1.42,-1.35
09/01/2014,11/01/2014,2,-2.22,-2.82,-1.41,-1.41
10/01/2015,11/01/2015,1,-1.9,-1.9,-1.9,-1.9
03/01/2016,05/01/2016,2,-1.33,-2.28,-1.14,-1.14
11/01/2016,04/01/2017,5,-1.66,-6.39,-1.28,-1.39
10/01/2017,02/01/2018,4,-2.49,-6.1,-1.52,-1.27
09/01/2021,10/01/2021,1,-1.21,-1.21,-1.21,-1.21
07/01/2022,12/01/2022,5,-1.85,-3.88,-0.78,-0.84
06/01/2023,09/01/2023,3,-1.34,-2.41,-0.8,-0.59
