0,1,2,3
-99.0,11,4.98,2.27
-2.6,1,0.45,4.55
-2.3,1,0.45,6.82
-2.2,2,0.9,9.09
-2.1,3,1.36,11.36
-2.0,5,2.26,13.64
-1.9,1,0.45,15.91
-1.7,2,0.9,18.18
-1.6,1,0.45,20.45
-1.5,4,1.81,22.73
-1.3,3,1.36,25.0
-1.2,5,2.26,27.27
-1.1,4,1.81,29.55
-1.0,4,1.81,31.82
-0.9,9,4.07,34.09
-0.7,6,2.71,36.36
-0.6,5,2.26,38.64
-0.5,7,3.17,40.91
-0.4,4,1.81,43.18
-0.3,7,3.17,45.45
-0.2,11,4.98,47.73
-0.1,11,4.98,50.0
0.0,10,4.52,52.27
0.1,10,4.52,54.55
0.2,15,6.79,56.82
0.3,8,3.62,59.09
0.4,10,4.52,61.36
0.5,6,2.71,63.64
0.6,1,0.45,65.91
0.7,4,1.81,68.18
0.8,8,3.62,70.45
0.9,4,1.81,72.73
1.0,5,2.26,75.0
1.1,2,0.9,77.27
1.2,5,2.26,79.55
1.3,7,3.17,81.82
1.4,2,0.9,84.09
1.5,3,1.36,86.36
1.6,3,1.36,88.64
1.7,3,1.36,90.91
1.8,3,1.36,93.18
1.9,2,0.9,95.45
2.0,2,0.9,97.73
2.2,1,0.45,100.0
