0,1,2,3
-99.0,2,2.94,2.94
-2.0,1,1.47,5.88
-1.8,1,1.47,8.82
-1.7,2,2.94,11.76
-1.5,2,2.94,14.71
-1.3,1,1.47,17.65
-1.2,1,1.47,20.59
-1.1,1,1.47,23.53
-0.9,4,5.88,26.47
-0.8,4,5.88,29.41
-0.7,2,2.94,32.35
-0.6,2,2.94,35.29
-0.5,5,7.35,38.24
-0.4,2,2.94,41.18
-0.3,1,1.47,44.12
-0.2,1,1.47,47.06
-0.1,3,4.41,50.0
0.1,3,4.41,52.94
0.2,6,8.82,55.88
0.3,1,1.47,58.82
0.4,3,4.41,61.76
0.5,3,4.41,64.71
0.6,3,4.41,67.65
0.8,1,1.47,70.59
0.9,1,1.47,73.53
1.1,1,1.47,76.47
1.2,1,1.47,79.41
1.3,1,1.47,82.35
1.4,1,1.47,85.29
1.5,2,2.94,88.24
1.6,2,2.94,91.18
1.9,2,2.94,94.12
2.0,1,1.47,97.06
2.1,1,1.47,100.0
