0,1,2,3,4
10/01/2018,0.03,-99.0,-99.0,-99.0
11/01/2018,1.09,-99.0,-99.0,-99.0
12/01/2018,2.11,1.87,-99.0,-99.0
01/01/2019,0.16,1.58,-99.0,-99.0
02/01/2019,1.31,2.01,-99.0,-99.0
03/01/2019,0.98,1.47,1.76,-99.0
04/01/2019,0.75,2.06,2.1,-99.0
05/01/2019,1.18,1.59,2.01,-99.0
06/01/2019,0.8,1.87,1.86,-99.0
07/01/2019,0.24,1.26,1.56,-99.0
08/01/2019,0.66,1.51,1.72,-99.0
09/01/2019,-0.97,0.19,1.46,1.84
10/01/2019,1.04,0.42,1.34,1.83
11/01/2019,0.49,0.48,1.02,1.68
12/01/2019,-0.79,0.1,0.44,1.5
01/01/2020,1.55,0.61,1.35,1.65
02/01/2020,0.26,0.52,1.35,1.63
03/01/2020,-0.65,0.6,0.35,1.28
04/01/2020,0.23,-0.37,0.24,1.62
05/01/2020,-0.37,-0.57,-0.01,1.86
06/01/2020,0.09,0.17,0.25,1.14
07/01/2020,-0.32,-0.46,-0.46,0.64
08/01/2020,1.04,0.18,-0.18,1.16
09/01/2020,-0.81,-0.08,0.02,0.02
10/01/2020,0.74,0.64,-0.07,0.02
11/01/2020,0.84,0.79,0.54,0.2
12/01/2020,-0.87,0.25,0.38,0.35
01/01/2021,0.3,0.18,0.96,0.01
02/01/2021,-0.54,-0.76,0.22,-0.04
03/01/2021,0.16,-0.27,-0.01,0.25
04/01/2021,-0.2,-0.75,-0.27,0.08
05/01/2021,-1.36,-0.94,-0.96,-0.39
06/01/2021,0.27,-0.5,-0.72,-0.53
07/01/2021,-0.67,-1.08,-0.98,-0.36
08/01/2021,0.61,-0.53,-0.68,-0.57
09/01/2021,1.65,0.25,-0.21,-0.37
10/01/2021,0.34,1.24,-0.19,-0.34
11/01/2021,-1.64,0.16,-0.2,-0.65
12/01/2021,-0.32,-0.91,-0.17,-0.59
01/01/2022,-1.77,-1.69,-0.4,-0.88
02/01/2022,0.85,-0.47,0.02,-0.44
03/01/2022,0.68,0.11,-0.41,-0.15
04/01/2022,-0.76,0.36,-0.86,-0.57
05/01/2022,0.56,0.14,-0.2,0.09
06/01/2022,-1.92,-0.88,-0.7,-1.36
07/01/2022,1.8,1.14,0.77,1.17
08/01/2022,-1.63,0.36,0.34,0.74
09/01/2022,0.63,1.38,0.36,-0.33
10/01/2022,-0.07,-0.8,0.61,-0.3
11/01/2022,0.32,0.54,0.48,0.07
12/01/2022,-0.15,-0.05,1.16,0.23
01/01/2023,-0.51,-0.24,-0.59,0.38
02/01/2023,-0.01,-0.6,0.18,0.28
03/01/2023,0.74,-0.06,-0.07,0.39
04/01/2023,-1.55,-0.83,-0.62,0.26
05/01/2023,-1.08,-1.16,-0.99,-0.52
06/01/2023,0.78,-0.67,-0.69,0.75
07/01/2023,-1.07,-0.87,-0.89,-1.45
08/01/2023,-0.67,-1.51,-1.2,-1.33
09/01/2023,-0.52,-1.73,-1.64,-1.16
10/01/2023,-2.06,-1.5,-1.67,-1.21
11/01/2023,-1.06,-1.96,-1.84,-1.31
12/01/2023,-0.07,-1.27,-1.81,-1.49
01/01/2024,0.28,-0.43,-1.32,-1.16
02/01/2024,-1.81,-0.73,-1.76,-1.44
03/01/2024,-1.89,-1.84,-1.62,-1.77
04/01/2024,1.54,-0.48,-0.59,-1.4
05/01/2024,1.06,0.94,0.14,-1.05
