0,1,2,3
-99.0,2,2.47,2.63
-2.1,1,1.23,5.26
-1.9,1,1.23,7.89
-1.8,2,2.47,10.53
-1.7,1,1.23,13.16
-1.5,2,2.47,15.79
-1.4,1,1.23,18.42
-1.3,1,1.23,21.05
-1.2,3,3.7,23.68
-1.1,3,3.7,26.32
-1.0,1,1.23,28.95
-0.9,3,3.7,31.58
-0.8,2,2.47,34.21
-0.7,1,1.23,36.84
-0.6,2,2.47,39.47
-0.5,3,3.7,42.11
-0.4,4,4.94,44.74
-0.3,1,1.23,47.37
-0.2,3,3.7,50.0
-0.1,2,2.47,52.63
0.1,5,6.17,55.26
0.2,4,4.94,57.89
0.4,2,2.47,60.53
0.5,4,4.94,63.16
0.6,4,4.94,65.79
0.7,3,3.7,68.42
0.8,3,3.7,71.05
0.9,3,3.7,73.68
1.0,3,3.7,76.32
1.1,1,1.23,78.95
1.2,1,1.23,81.58
1.3,2,2.47,84.21
1.4,1,1.23,86.84
1.5,1,1.23,89.47
1.7,2,2.47,92.11
1.8,1,1.23,94.74
1.9,1,1.23,97.37
2.0,1,1.23,100.0
