0,1,2,3,4
02/01/2000,0.73,-99.0,-99.0,-99.0
03/01/2000,-0.35,-99.0,-99.0,-99.0
04/01/2000,-1.04,-0.95,-99.0,-99.0
05/01/2000,-1.41,-1.92,-99.0,-99.0
06/01/2000,0.41,-1.09,-99.0,-99.0
07/01/2000,0.27,-0.34,-0.72,-99.0
08/01/2000,0.14,0.23,-0.86,-99.0
09/01/2000,0.39,0.19,-0.51,-99.0
10/01/2000,-0.03,0.04,-0.34,-99.0
11/01/2000,1.09,0.56,0.38,-99.0
12/01/2000,-1.59,-0.16,0.04,-99.0
01/01/2001,1.73,0.91,0.41,-0.4
02/01/2001,1.48,1.16,1.26,-0.14
03/01/2001,-0.06,1.55,0.95,-0.08
04/01/2001,-0.41,0.45,0.76,0.03
05/01/2001,-0.1,-0.51,0.15,0.34
06/01/2001,1.52,0.87,1.43,0.85
07/01/2001,1.06,1.36,1.44,1.16
08/01/2001,-0.57,1.15,0.84,1.1
09/01/2001,1.22,0.87,1.09,1.23
10/01/2001,-0.21,0.01,1.08,1.3
11/01/2001,-0.5,0.32,1.15,1.05
12/01/2001,-0.6,-1.56,0.32,1.12
01/01/2002,-1.03,-1.42,-0.7,0.86
02/01/2002,-0.22,-1.27,-0.53,0.49
03/01/2002,-1.07,-1.62,-2.21,0.32
04/01/2002,0.56,-0.51,-1.13,0.51
05/01/2002,0.82,0.45,-0.23,0.81
06/01/2002,-1.65,-0.19,-0.91,-0.3
07/01/2002,-1.43,-1.12,-1.29,-1.27
08/01/2002,-0.62,-2.22,-1.61,-1.54
09/01/2002,-1.42,-2.03,-1.48,-2.11
10/01/2002,0.52,-0.78,-1.54,-2.0
11/01/2002,-1.14,-1.28,-2.57,-2.14
12/01/2002,-2.4,-0.97,-2.43,-2.38
01/01/2003,-0.98,-2.51,-1.97,-2.41
02/01/2003,-0.18,-1.74,-2.35,-2.35
03/01/2003,-1.03,-1.54,-1.71,-2.17
04/01/2003,1.97,1.14,-0.22,-1.5
05/01/2003,-1.05,0.23,-0.56,-2.28
06/01/2003,0.11,0.52,-0.18,-1.63
07/01/2003,-1.91,-1.43,-0.77,-1.51
08/01/2003,0.34,-0.66,-0.57,-1.36
09/01/2003,0.32,-0.63,-0.19,-0.8
10/01/2003,-0.93,-0.22,-1.34,-1.36
11/01/2003,-0.72,-1.34,-1.22,-1.34
12/01/2003,1.25,-0.7,-1.0,-0.91
01/01/2004,-0.68,0.24,-0.26,-0.89
02/01/2004,-0.02,0.57,-0.79,-0.84
03/01/2004,1.01,0.33,-0.32,-0.37
04/01/2004,-0.5,0.01,0.07,-1.18
05/01/2004,1.52,1.28,1.28,-0.21
06/01/2004,-0.09,0.68,0.64,-0.28
07/01/2004,1.17,1.35,1.28,0.75
08/01/2004,0.43,0.83,1.48,0.89
09/01/2004,-0.25,0.86,0.98,0.69
10/01/2004,0.05,0.0,1.06,0.96
11/01/2004,0.27,-0.47,0.55,1.14
12/01/2004,-0.5,-0.59,0.6,0.81
01/01/2005,1.14,0.14,-0.07,1.05
02/01/2005,1.33,0.91,0.2,1.33
03/01/2005,-1.45,0.55,-0.08,0.86
04/01/2005,-0.09,-0.09,-0.05,0.9
05/01/2005,0.53,-0.25,0.17,0.49
06/01/2005,0.78,0.71,0.77,0.82
07/01/2005,-1.03,0.03,-0.06,-0.12
08/01/2005,1.13,0.46,0.23,0.19
09/01/2005,-0.61,-0.14,0.25,0.13
10/01/2005,0.88,0.9,0.58,0.46
11/01/2005,0.26,0.3,0.49,0.47
12/01/2005,0.14,0.83,0.15,0.56
01/01/2006,0.36,0.06,0.91,0.49
02/01/2006,-2.08,-0.56,-0.23,0.07
03/01/2006,0.13,-0.51,0.25,0.29
04/01/2006,0.74,0.07,0.0,0.47
05/01/2006,-1.82,-0.71,-1.08,-0.15
06/01/2006,-0.81,-1.29,-1.53,-0.75
07/01/2006,0.2,-1.23,-1.12,-0.26
08/01/2006,1.0,0.17,-0.33,-0.42
09/01/2006,-0.35,0.43,-0.39,-0.29
10/01/2006,0.22,0.5,-0.62,-0.61
11/01/2006,-0.27,-0.67,-0.17,-0.73
12/01/2006,0.99,0.3,0.47,-0.57
01/01/2007,-0.21,0.24,0.53,-0.62
02/01/2007,0.2,0.5,-0.33,-0.45
03/01/2007,1.01,0.53,0.48,-0.2
04/01/2007,-0.94,-0.18,-0.04,-0.62
05/01/2007,1.32,0.96,0.94,0.34
06/01/2007,-1.44,-0.35,-0.18,0.2
07/01/2007,-0.49,-0.33,-0.43,-0.05
08/01/2007,0.9,-0.51,0.06,-0.15
09/01/2007,0.42,0.26,-0.06,0.08
10/01/2007,0.94,1.11,0.48,0.37
11/01/2007,-2.42,0.43,-0.33,0.25
12/01/2007,1.01,0.81,0.51,0.24
01/01/2008,0.33,-0.08,1.1,0.32
