0,1,2,3
-2.3,1,0.93,2.63
-2.2,1,0.93,5.26
-2.0,1,0.93,7.89
-1.8,1,0.93,10.53
-1.7,1,0.93,13.16
-1.6,1,0.93,15.79
-1.5,2,1.87,18.42
-1.4,4,3.74,21.05
-1.3,1,0.93,23.68
-1.2,3,2.8,26.32
-1.1,2,1.87,28.95
-1.0,2,1.87,31.58
-0.9,3,2.8,34.21
-0.8,2,1.87,36.84
-0.7,2,1.87,39.47
-0.6,1,0.93,42.11
-0.5,4,3.74,44.74
-0.4,7,6.54,47.37
-0.3,2,1.87,50.0
-0.2,3,2.8,52.63
-0.1,5,4.67,55.26
0.0,4,3.74,57.89
0.1,7,6.54,60.53
0.2,2,1.87,63.16
0.3,7,6.54,65.79
0.4,1,0.93,68.42
0.5,2,1.87,71.05
0.6,4,3.74,73.68
0.7,2,1.87,76.32
0.8,6,5.61,78.95
0.9,2,1.87,81.58
1.0,4,3.74,84.21
1.1,4,3.74,86.84
1.3,5,4.67,89.47
1.5,2,1.87,92.11
1.6,3,2.8,94.74
1.9,2,1.87,97.37
2.3,1,0.93,100.0
