0,1,2,3
-99.0,2,1.83,2.44
-2.1,1,0.92,4.88
-2.0,1,0.92,7.32
-1.9,1,0.92,9.76
-1.8,1,0.92,12.2
-1.7,1,0.92,14.63
-1.6,1,0.92,17.07
-1.4,4,3.67,19.51
-1.3,3,2.75,21.95
-1.2,3,2.75,24.39
-1.1,3,2.75,26.83
-1.0,2,1.83,29.27
-0.9,1,0.92,31.71
-0.8,2,1.83,34.15
-0.7,2,1.83,36.59
-0.6,7,6.42,39.02
-0.5,2,1.83,41.46
-0.4,6,5.5,43.9
-0.3,6,5.5,46.34
-0.2,6,5.5,48.78
-0.1,2,1.83,51.22
0.0,2,1.83,53.66
0.2,6,5.5,56.1
0.3,6,5.5,58.54
0.4,4,3.67,60.98
0.5,2,1.83,63.41
0.6,1,0.92,65.85
0.7,4,3.67,68.29
0.8,2,1.83,70.73
0.9,2,1.83,73.17
1.0,3,2.75,75.61
1.1,4,3.67,78.05
1.2,3,2.75,80.49
1.3,2,1.83,82.93
1.4,3,2.75,85.37
1.5,1,0.92,87.8
1.6,1,0.92,90.24
1.7,1,0.92,92.68
1.8,1,0.92,95.12
1.9,2,1.83,97.56
2.1,2,1.83,100.0
