0,1,2,3,4,5,6
01/01/2009,02/01/2009,1,-2.2,-2.2,-2.2,-2.2
08/01/2011,11/01/2011,3,-1.73,-3.88,-1.29,-1.68
05/01/2012,10/01/2012,5,-2.97,-7.68,-1.54,-1.37
08/01/2013,09/01/2013,1,-1.58,-1.58,-1.58,-1.58
03/01/2014,04/01/2014,1,-1.77,-1.77,-1.77,-1.77
02/01/2016,06/01/2016,4,-2.12,-4.08,-1.02,-0.69
12/01/2017,01/01/2018,1,-1.77,-1.77,-1.77,-1.77
04/01/2018,08/01/2018,4,-2.54,-4.67,-1.17,-0.86
09/01/2023,10/01/2023,1,-1.64,-1.64,-1.64,-1.64
11/01/2023,12/01/2023,1,-1.57,-1.57,-1.57,-1.57
02/01/2024,03/01/2024,1,-1.75,-1.75,-1.75,-1.75
