0,1,2,3,4,5,6
12/01/2010,01/01/2012,13,-2.04,-9.72,-0.75,-0.69
05/01/2012,02/01/2013,9,-2.44,-11.18,-1.24,-1.29
08/01/2013,06/01/2014,10,-1.86,-9.95,-1.0,-1.02
02/01/2015,06/01/2015,4,-2.0,-4.82,-1.21,-1.13
10/01/2015,11/01/2015,1,-1.29,-1.29,-1.29,-1.29
03/01/2016,07/01/2016,4,-1.76,-5.35,-1.34,-1.52
12/01/2016,04/01/2017,4,-2.12,-5.74,-1.43,-1.46
11/01/2017,02/01/2018,3,-1.01,-2.54,-0.85,-0.8
06/01/2018,09/01/2018,3,-1.52,-2.44,-0.81,-0.88
05/01/2023,10/01/2023,5,-2.12,-6.95,-1.39,-1.55
11/01/2023,01/01/2024,2,-1.52,-1.8,-0.9,-0.9
