0,1,2,3
-99.0,2,1.07,2.22
-2.4,1,0.53,4.44
-2.1,3,1.6,6.67
-2.0,3,1.6,8.89
-1.9,1,0.53,11.11
-1.8,2,1.07,13.33
-1.7,1,0.53,15.56
-1.6,2,1.07,17.78
-1.5,4,2.14,20.0
-1.4,2,1.07,22.22
-1.3,4,2.14,24.44
-1.2,1,0.53,26.67
-1.1,4,2.14,28.89
-1.0,4,2.14,31.11
-0.9,4,2.14,33.33
-0.8,8,4.28,35.56
-0.7,5,2.67,37.78
-0.6,6,3.21,40.0
-0.5,7,3.74,42.22
-0.4,4,2.14,44.44
-0.3,5,2.67,46.67
-0.2,9,4.81,48.89
-0.1,6,3.21,51.11
0.0,5,2.67,53.33
0.1,6,3.21,55.56
0.2,9,4.81,57.78
0.3,9,4.81,60.0
0.4,10,5.35,62.22
0.5,4,2.14,64.44
0.6,9,4.81,66.67
0.7,6,3.21,68.89
0.8,6,3.21,71.11
0.9,8,4.28,73.33
1.0,3,1.6,75.56
1.1,2,1.07,77.78
1.2,1,0.53,80.0
1.3,5,2.67,82.22
1.4,3,1.6,84.44
1.5,2,1.07,86.67
1.6,3,1.6,88.89
1.7,2,1.07,91.11
1.9,2,1.07,93.33
2.3,2,1.07,95.56
2.4,1,0.53,97.78
2.6,1,0.53,100.0
