0,1,2,3,4,5,6
04/01/2005,10/01/2005,6,-2.3,-7.38,-1.23,-1.4
11/01/2005,02/01/2007,15,-2.12,-17.79,-1.19,-1.15
09/01/2007,02/01/2008,5,-1.48,-4.55,-0.91,-1.11
12/01/2010,04/01/2011,4,-1.42,-2.29,-0.57,-0.4
07/01/2012,03/01/2013,8,-2.57,-9.46,-1.18,-0.88
01/01/2014,10/01/2014,9,-2.61,-9.16,-1.02,-0.96
03/01/2015,06/01/2015,3,-1.63,-3.52,-1.17,-1.52
10/01/2015,11/01/2015,1,-1.68,-1.68,-1.68,-1.68
03/01/2016,09/01/2016,6,-1.26,-3.14,-0.52,-0.4
12/01/2016,04/01/2017,4,-1.81,-5.56,-1.39,-1.41
01/01/2018,03/01/2018,2,-1.46,-1.77,-0.89,-0.89
04/01/2018,06/01/2018,2,-1.28,-2.11,-1.05,-1.05
09/01/2018,10/01/2018,1,-1.16,-1.16,-1.16,-1.16
10/01/2020,01/01/2021,3,-1.72,-2.76,-0.92,-0.57
04/01/2023,08/01/2023,4,-2.92,-7.88,-1.97,-1.84
11/01/2023,01/01/2024,2,-1.52,-1.79,-0.9,-0.9
