0,1,2,3
-2.6,1,0.41,2.13
-2.5,1,0.41,4.26
-2.4,2,0.83,6.38
-2.1,1,0.41,8.51
-2.0,5,2.07,10.64
-1.9,3,1.24,12.77
-1.8,3,1.24,14.89
-1.7,3,1.24,17.02
-1.6,1,0.41,19.15
-1.5,1,0.41,21.28
-1.4,2,0.83,23.4
-1.3,4,1.66,25.53
-1.2,4,1.66,27.66
-1.1,2,0.83,29.79
-1.0,8,3.32,31.91
-0.9,7,2.9,34.04
-0.8,7,2.9,36.17
-0.7,8,3.32,38.3
-0.6,7,2.9,40.43
-0.5,7,2.9,42.55
-0.4,7,2.9,44.68
-0.3,6,2.49,46.81
-0.2,6,2.49,48.94
-0.1,12,4.98,51.06
0.0,6,2.49,53.19
0.1,13,5.39,55.32
0.2,8,3.32,57.45
0.3,12,4.98,59.57
0.4,14,5.81,61.7
0.5,8,3.32,63.83
0.6,8,3.32,65.96
0.7,7,2.9,68.09
0.8,9,3.73,70.21
0.9,8,3.32,72.34
1.0,8,3.32,74.47
1.1,4,1.66,76.6
1.2,4,1.66,78.72
1.3,4,1.66,80.85
1.4,9,3.73,82.98
1.5,1,0.41,85.11
1.6,2,0.83,87.23
1.7,2,0.83,89.36
1.8,1,0.41,91.49
2.1,1,0.41,93.62
2.3,2,0.83,95.74
2.5,1,0.41,97.87
2.6,1,0.41,100.0
