0,1,2,3
-99.0,5,2.31,2.17
-2.5,1,0.46,4.35
-2.4,1,0.46,6.52
-2.2,1,0.46,8.7
-1.9,3,1.39,10.87
-1.8,2,0.93,13.04
-1.7,3,1.39,15.22
-1.6,4,1.85,17.39
-1.5,3,1.39,19.57
-1.4,4,1.85,21.74
-1.3,4,1.85,23.91
-1.2,3,1.39,26.09
-1.1,3,1.39,28.26
-1.0,6,2.78,30.43
-0.9,3,1.39,32.61
-0.8,6,2.78,34.78
-0.7,6,2.78,36.96
-0.6,9,4.17,39.13
-0.5,11,5.09,41.3
-0.4,10,4.63,43.48
-0.3,10,4.63,45.65
-0.2,7,3.24,47.83
-0.1,2,0.93,50.0
0.0,4,1.85,52.17
0.1,10,4.63,54.35
0.2,9,4.17,56.52
0.3,2,0.93,58.7
0.4,8,3.7,60.87
0.5,9,4.17,63.04
0.6,9,4.17,65.22
0.7,7,3.24,67.39
0.8,5,2.31,69.57
0.9,4,1.85,71.74
1.0,10,4.63,73.91
1.1,3,1.39,76.09
1.2,7,3.24,78.26
1.3,5,2.31,80.43
1.4,2,0.93,82.61
1.5,3,1.39,84.78
1.6,3,1.39,86.96
1.7,2,0.93,89.13
1.8,3,1.39,91.3
2.1,1,0.46,93.48
2.2,1,0.46,95.65
2.3,1,0.46,97.83
2.6,1,0.46,100.0
