0,1,2,3,4
06/01/2006,-0.04,-99.0,-99.0,-99.0
07/01/2006,0.05,-99.0,-99.0,-99.0
08/01/2006,0.89,0.27,-99.0,-99.0
09/01/2006,-0.41,0.13,-99.0,-99.0
10/01/2006,0.22,0.19,-99.0,-99.0
11/01/2006,0.58,-0.12,0.08,-99.0
12/01/2006,-0.31,0.07,0.06,-99.0
01/01/2007,0.48,0.19,0.16,-99.0
02/01/2007,0.18,-0.13,-0.25,-99.0
03/01/2007,-0.37,-0.02,-0.05,-99.0
04/01/2007,0.18,-0.3,-0.12,-99.0
05/01/2007,-0.69,-0.63,-0.8,-0.32
06/01/2007,-0.12,-0.41,-0.55,-0.36
07/01/2007,-1.01,-0.9,-1.0,-0.57
08/01/2007,-1.19,-1.3,-1.47,-1.16
09/01/2007,-0.31,-1.3,-1.27,-1.0
10/01/2007,-0.38,-1.07,-1.46,-1.29
11/01/2007,-0.22,-0.92,-1.34,-1.44
12/01/2007,0.6,-0.28,-1.23,-1.25
01/01/2008,0.65,0.37,-0.87,-1.29
02/01/2008,1.69,1.61,0.19,-0.88
03/01/2008,1.68,1.82,0.99,-0.47
04/01/2008,-0.33,1.99,1.49,-0.61
05/01/2008,1.19,1.23,2.13,-0.02
06/01/2008,0.06,0.34,1.33,0.01
07/01/2008,1.84,1.32,1.84,0.86
08/01/2008,-0.36,0.91,1.42,1.02
09/01/2008,2.14,1.97,1.69,1.71
10/01/2008,0.04,1.15,1.64,1.94
11/01/2008,-0.71,1.45,1.31,1.89
12/01/2008,0.63,-0.13,1.58,1.9
01/01/2009,-2.01,-0.7,0.81,1.77
02/01/2009,0.42,-0.17,1.17,1.52
03/01/2009,-0.12,-0.52,-0.53,1.24
04/01/2009,-0.01,-0.18,-0.77,1.32
05/01/2009,0.24,-0.07,-0.27,1.05
06/01/2009,1.2,0.69,0.39,1.41
07/01/2009,0.26,0.76,0.61,0.81
08/01/2009,0.18,0.85,0.61,0.96
09/01/2009,0.36,0.23,0.59,0.18
10/01/2009,2.42,1.78,1.69,1.3
11/01/2009,0.75,2.43,1.84,1.5
12/01/2009,0.99,2.59,1.8,1.58
01/01/2010,0.48,1.04,2.25,1.83
02/01/2010,0.48,1.02,2.58,1.81
03/01/2010,-0.73,-0.02,2.3,1.76
04/01/2010,0.64,0.32,1.04,1.94
05/01/2010,-0.11,-0.04,0.53,1.87
06/01/2010,0.04,0.13,0.01,1.4
07/01/2010,1.15,0.43,0.43,1.58
08/01/2010,0.49,0.74,0.52,1.73
09/01/2010,1.68,1.55,1.2,1.99
10/01/2010,-1.46,0.66,0.65,0.89
11/01/2010,-0.52,0.42,0.66,0.71
12/01/2010,0.41,-1.06,0.83,0.59
01/01/2011,-1.53,-0.74,0.23,0.4
02/01/2011,0.57,-0.19,0.2,0.42
03/01/2011,-0.11,-0.36,-1.17,0.5
04/01/2011,-0.42,-0.52,-1.03,0.22
05/01/2011,0.64,-0.02,-0.23,0.45
06/01/2011,0.26,0.13,-0.17,0.48
07/01/2011,-0.55,0.07,-0.18,-0.03
08/01/2011,-0.63,-0.58,-0.53,-0.31
09/01/2011,-0.35,-0.88,-0.57,-1.03
10/01/2011,-1.91,-1.48,-0.86,-1.17
11/01/2011,1.27,-0.72,-0.78,-0.76
12/01/2011,0.86,0.07,-0.71,-0.66
01/01/2012,-0.62,0.89,-0.8,-0.64
02/01/2012,0.7,0.53,-0.36,-0.59
03/01/2012,-0.72,-0.37,-0.27,-0.71
