Year      Month     Average
2019      8         5.5400
2019      9         4.2000
2019      10        3.3600
2019      11        1.0800
2019      12        2.1900
2020      1         2.2400
2020      2         0.9300
2020      3         4.8400
2020      4         4.0200
2020      5         3.2800
2020      6         4.2500
2020      7         9.4600
2020      8         2.1700
2020      9         3.7800
2020      10        1.2300
2020      11        2.0100
2020      12        1.2200
2021      1         2.4200
2021      2         0.1000
2021      3         5.1000
2021      4         3.1500
2021      5         4.0300
2021      6         11.0800
2021      7         1.1500
2021      8         2.1700
2021      9         2.3000
2021      10        5.3300
2021      11        0.7300
2021      12        0.7300
2022      1         0.5300
2022      2         0.8400
2022      3         4.8500
2022      4         2.4800
2022      5         3.2900
2022      6         1.7900
2022      7         2.7700
2022      8         2.0600
2022      9         0.9200
2022      10        1.9900
2022      11        4.2700
2022      12        0.6600
2023      1         1.9100
2023      2         2.9200
2023      3         2.9600
2023      4         0.5400
2023      5         3.3200
2023      6         2.4700
2023      7         3.5400
2023      8         5.2900
2023      9         1.0800
2023      10        3.3100
2023      11        1.4900
2023      12        3.5800
2024      1         1.5900
2024      2         0.1200
2024      3         1.9500
2024      4         6.3000
2024      5         3.9300
