Year      Month     Average
2000      1         0.4300
2000      2         2.7500
2000      3         2.2500
2000      4         0.5100
2000      5         4.3400
2000      6         6.7800
2000      7         3.0700
2000      8         6.8500
2000      9         2.0800
2000      10        3.7500
2000      11        1.6000
2000      12        0.2400
2001      1         3.6000
2001      2         4.5300
2001      3         1.6800
2001      4         4.2800
2001      5         5.0900
2001      6         5.2700
2001      7         3.6100
2001      8         3.2600
2001      9         2.2500
2001      10        4.0300
2001      11        2.1500
2001      12        1.1400
2002      1         2.7200
2002      2         0.7000
2002      3         1.7000
2002      4         4.5400
2002      5         8.9600
2002      6         3.0100
2002      7         3.3500
2002      8         3.3700
2002      9         1.1900
2002      10        3.7200
2002      11        0.7200
2002      12        1.7100
2003      1         0.5800
2003      2         1.6800
2003      3         2.6800
2003      4         4.0600
2003      5         5.4400
2003      6         6.4400
2003      7         0.6800
2003      8         3.2400
2003      9         4.9200
2003      10        1.6400
2003      11        2.4500
2003      12        3.1600
2004      1         1.6600
2004      2         0.7400
2004      3         4.6900
2004      4         2.9200
2004      5         4.9500
2004      6         1.6000
2004      7         4.7800
2004      8         6.3300
2004      9         2.5100
2004      10        4.3600
2004      11        5.1500
2004      12        1.2100
2005      1         5.6300
2005      2         1.9800
2005      3         1.1300
2005      4         2.3000
2005      5         1.2900
2005      6         3.1900
2005      7         0.6000
2005      8         6.3500
2005      9         2.6800
2005      10        2.1700
2005      11        1.2700
2005      12        0.8900
2006      1         1.9700
2006      2         0.1200
2006      3         4.8100
2006      4         2.4100
2006      5         2.9200
2006      6         5.8700
2006      7         4.0100
2006      8         2.3300
2006      9         1.3800
2006      10        2.5600
2006      11        1.9300
2006      12        1.6500
2007      1         2.0400
2007      2         1.9000
2007      3         2.2400
2007      4         3.8800
2007      5         3.5700
2007      6         5.0600
2007      7         1.6900
2007      8         1.5500
2007      9         1.4200
2007      10        2.0700
2007      11        1.3700
2007      12        3.1400
2008      1         2.2800
2008      2         3.2100
2008      3         5.0900
2008      4         3.7900
2008      5         5.3700
2008      6         6.1000
2008      7         15.3200
2008      8         2.5000
2008      9         12.0600
2008      10        1.8500
2008      11        0.9500
2008      12        2.7100
2009      1         0.1100
2009      2         2.4300
2009      3         3.3700
2009      4         6.8300
2009      5         3.9800
2009      6         10.1400
2009      7         3.1500
2009      8         3.4600
2009      9         3.5500
2009      10        9.7000
2009      11        1.8300
2009      12        2.8300
2010      1         2.0200
2010      2         2.4100
2010      3         2.4300
2010      4         5.4400
2010      5         4.5200
2010      6         6.3400
2010      7         10.8600
2010      8         3.8100
2010      9         7.8100
2010      10        0.5900
2010      11        1.4100
2010      12        2.0200
2011      1         0.3600
2011      2         2.0700
2011      3         2.8100
2011      4         2.8500
2011      5         5.0000
2011      6         4.1800
2011      7         1.7500
2011      8         1.7500
2011      9         1.2200
2011      10        0.9000
2011      11        4.1900
2011      12        3.0700
2012      1         0.5700
2012      2         2.1200
2012      3         2.8500
2012      4         4.6400
2012      5         1.9100
2012      6         2.2500
2012      7         1.1000
2012      8         3.0300
2012      9         1.7800
2012      10        2.4500
2012      11        1.3300
2012      12        1.5900
2013      1         3.0400
2013      2         2.0100
2013      3         2.8000
2013      4         7.7800
2013      5         9.9100
2013      6         2.0900
2013      7         1.3200
2013      8         2.1400
2013      9         2.0800
2013      10        2.8200
2013      11        1.7100
2013      12        1.6200
2014      1         0.4400
2014      2         0.7700
2014      3         1.7000
2014      4         5.3000
2014      5         3.7900
2014      6         4.0100
2014      7         1.8100
2014      8         3.5900
2014      9         4.4100
2014      10        7.0800
2014      11        0.9500
2014      12        1.6900
2015      1         0.9500
2015      2         1.0800
2015      3         1.9900
2015      4         3.0800
2015      5         5.9800
2015      6         12.1200
2015      7         8.1300
2015      8         0.4900
2015      9         0.8900
2015      10        1.1900
2015      11        8.0000
2015      12        6.7700
2016      1         0.5900
2016      2         0.5300
2016      3         1.8100
2016      4         2.5700
2016      5         4.1800
2016      6         1.2500
2016      7         8.4400
2016      8         9.8600
2016      9         4.4200
2016      10        0.7100
2016      11        1.7000
2016      12        1.2900
2017      1         1.1900
2017      2         0.3400
2017      3         3.5400
2017      4         7.9000
2017      5         4.5700
2017      6         3.8600
2017      7         2.9200
2017      8         3.0200
2017      9         0.5500
2017      10        3.4200
2017      11        0.8200
2017      12        0.1800
2018      1         1.8000
2018      2         3.1900
2018      3         3.9500
2018      4         0.7200
2018      5         2.3400
2018      6         3.9800
2018      7         1.6300
2018      8         4.2400
2018      9         1.2500
2018      10        6.4200
2018      11        2.5300
2018      12        4.0000
2019      1         1.7200
2019      2         0.8500
2019      3         3.5300
2019      4         4.7300
2019      5         4.6300
2019      6         5.2800
2019      7         3.1600
2019      8         7.0400
2019      9         1.7700
2019      10        3.7500
2019      11        1.6200
2019      12        1.3700
2020      1         3.1700
2020      2         1.9800
2020      3         4.8600
2020      4         4.4800
2020      5         3.8700
2020      6         9.8900
2020      7         3.8900
2020      8         3.1200
2020      9         4.2900
2020      10        1.6800
2020      11        1.9200
2020      12        0.7800
2021      1         2.7700
2021      2         0.5300
2021      3         5.0500
2021      4         5.7700
2021      5         4.2700
2021      6         10.4200
2021      7         5.0000
2021      8         2.8600
2021      9         1.6400
2021      10        6.0500
2021      11        0.8300
2021      12        1.8400
2022      1         0.9400
2022      2         1.1600
2022      3         3.7300
2022      4         4.5100
2022      5         5.6300
2022      6         2.3900
2022      7         4.9800
2022      8         1.8800
2022      9         1.8500
2022      10        3.4200
2022      11        2.1100
2022      12        1.1100
2023      1         1.3100
2023      2         2.9100
2023      3         2.5500
2023      4         0.8000
2023      5         1.7000
2023      6         1.1000
2023      7         3.4600
2023      8         5.8500
2023      9         0.2300
2023      10        2.3100
2023      11        0.7800
2023      12        2.9200
2024      1         2.3800
2024      2         0.1500
2024      3         2.9600
2024      4         4.6800
2024      5         4.6600
