Year      Month     Average
2008      6         2.1400
2008      7         9.2100
2008      8         2.5000
2008      9         9.9600
2008      10        1.3900
2008      11        1.0700
2008      12        2.1300
2009      1         0.0400
2009      2         3.0800
2009      3         3.8000
2009      4         7.3500
2009      5         4.2000
2009      6         6.1100
2009      7         4.9300
2009      8         4.8400
2009      9         2.8900
2009      10        9.5100
2009      11        1.5200
2009      12        2.3200
2010      1         1.8100
2010      2         2.2300
2010      3         2.7100
2010      4         7.0600
2010      5         4.3300
2010      6         3.6800
2010      7         8.9300
2010      8         4.0400
2010      9         5.8400
2010      10        0.4900
2010      11        1.1900
2010      12        2.0800
2011      1         0.2100
2011      2         1.6600
2011      3         2.8300
2011      4         2.7900
2011      5         5.6200
2011      6         2.4600
2011      7         1.6400
2011      8         2.2900
2011      9         1.9200
2011      10        0.8300
2011      11        3.9000
2011      12        2.6500
2012      1         0.7200
2012      2         2.2400
2012      3         3.6600
2012      4         6.9100
2012      5         1.1300
2012      6         1.1500
2012      7         0.7500
2012      8         1.7500
2012      9         1.7400
2012      10        2.3100
2012      11        1.2800
2012      12        0.9700
2013      1         2.4900
2013      2         1.8600
2013      3         2.4600
2013      4         6.9100
2013      5         10.4400
2013      6         2.1400
2013      7         1.4500
2013      8         1.8500
2013      9         1.8100
2013      10        2.7900
2013      11        1.4700
2013      12        1.4000
2014      1         0.3000
2014      2         0.5200
2014      3         1.0000
2014      4         6.3100
2014      5         2.8300
2014      6         6.8300
2014      7         1.8600
2014      8         3.1700
2014      9         7.1700
2014      10        9.6300
2014      11        0.8000
2014      12        1.9500
2015      1         0.8600
2015      2         0.8100
2015      3         1.8800
2015      4         2.8300
2015      5         5.5900
2015      6         6.1000
2015      7         7.4700
2015      8         3.2500
2015      9         1.1800
2015      10        0.8800
2015      11        7.8300
2015      12        6.2700
2016      1         0.5700
2016      2         0.4700
2016      3         1.8000
2016      4         1.9200
2016      5         3.0200
2016      6         1.1100
2016      7         9.9900
2016      8         4.8300
2016      9         6.1800
2016      10        1.0400
2016      11        2.3200
2016      12        1.0800
2017      1         1.2200
2017      2         0.1400
2017      3         2.5700
2017      4         8.1200
2017      5         4.7500
2017      6         3.0000
2017      7         4.3200
2017      8         3.5300
2017      9         1.7700
2017      10        3.8200
2017      11        0.6100
2017      12        0.1500
2018      1         1.4700
2018      2         2.5700
2018      3         2.9600
2018      4         0.3900
2018      5         2.5700
2018      6         4.0800
2018      7         1.7400
2018      8         3.1300
2018      9         1.0200
2018      10        6.3000
2018      11        2.3600
2018      12        4.1000
2019      1         1.5400
2019      2         1.8100
2019      3         3.9500
2019      4         4.6900
2019      5         4.6400
2019      6         5.8000
2019      7         3.5900
2019      8         4.8200
2019      9         2.1400
2019      10        4.1900
2019      11        1.9000
2019      12        1.5500
2020      1         2.8400
2020      2         1.8500
2020      3         5.5500
2020      4         4.5700
2020      5         4.0200
2020      6         5.2000
2020      7         3.7300
2020      8         4.2400
2020      9         3.3800
2020      10        1.4200
2020      11        2.5800
2020      12        0.6200
2021      1         2.8500
2021      2         0.6000
2021      3         5.7300
2021      4         5.1700
2021      5         3.9700
2021      6         11.4400
2021      7         5.2000
2021      8         1.1200
2021      9         2.3300
2021      10        5.7100
2021      11        0.8500
2021      12        1.7900
2022      1         0.6700
2022      2         1.2100
2022      3         3.7400
2022      4         4.9600
2022      5         5.1200
2022      6         1.9700
2022      7         2.2700
2022      8         2.3000
2022      9         1.5700
2022      10        3.1300
2022      11        2.1900
2022      12        1.0800
2023      1         1.1500
2023      2         2.9200
2023      3         2.9100
2023      4         0.5700
2023      5         1.1300
2023      6         3.5200
2023      7         5.0400
2023      8         4.7800
2023      9         0.3300
2023      10        2.3000
2023      11        0.7800
2023      12        2.6900
2024      1         2.4300
2024      2         0.0700
2024      3         2.6500
2024      4         4.0000
2024      5         3.5600
