Year      Month     Average
2015      4         0.1900
2015      5         5.4200
2015      6         10.0700
2015      7         5.4400
2015      8         2.4200
2015      9         2.5600
2015      10        1.6000
2015      11        6.2600
2015      12        9.4300
2016      1         0.4200
2016      2         0.4600
2016      3         1.9500
2016      4         4.5400
2016      5         3.6900
2016      6         0.2000
2016      7         6.1900
2016      8         6.5600
2016      9         3.6700
2016      10        0.5000
2016      11        1.7200
2016      12        0.7300
2017      1         0.7600
2017      2         0.2400
2017      3         3.3400
2017      4         8.8100
2017      5         5.9100
2017      6         4.1600
2017      7         2.5000
2017      8         2.0700
2017      9         1.0100
2017      10        2.1600
2017      11        0.4100
2017      12        0.1900
2018      1         1.6100
2018      2         4.0700
2018      3         4.7200
2018      4         2.1600
2018      5         3.1800
2018      6         3.6000
2018      7         0.7600
2018      8         3.7900
2018      9         1.1500
2018      10        3.1400
2018      11        3.4000
2018      12        4.1200
2019      1         1.6800
2019      2         2.5400
2019      3         5.1800
2019      4         4.5100
2019      5         4.6800
2019      6         5.0400
2019      7         2.4000
2019      8         6.8100
2019      9         0.7000
2019      10        5.8700
2019      11        1.7900
2019      12        1.5800
2020      1         3.7700
2020      2         2.1600
2020      3         3.1900
2020      4         4.0300
2020      5         4.8700
2020      6         4.7500
2020      7         5.8500
2020      8         3.7400
2020      9         2.4800
2020      10        1.9800
2020      11        3.9100
2020      12        1.1200
2021      1         3.1600
2021      2         0.7700
2021      3         3.7600
2021      4         4.5400
2021      5         2.8700
2021      6         8.7300
2021      7         4.1000
2021      8         2.4900
2021      9         1.8300
2021      10        2.6600
2021      11        0.3200
2021      12        3.1800
2022      1         1.1800
2022      2         2.1300
2022      3         4.3200
2022      4         3.4600
2022      5         7.3600
2022      6         1.7900
2022      7         8.8300
2022      8         4.3600
2022      9         2.1600
2022      10        3.5800
2022      11        2.8800
2022      12        0.7300
2023      1         1.3900
2023      2         2.2500
2023      3         3.7800
2023      4         1.4800
2023      5         1.8400
2023      6         1.2800
2023      7         3.6600
2023      8         5.1700
2023      9         0.7100
2023      10        3.2600
2023      11        0.7600
2023      12        1.9300
2024      1         3.5500
2024      2         0.0500
2024      3         4.3200
2024      4         4.2000
2024      5         6.2000
