Year      Month     Average
2006      5         0.9300
2006      6         3.5600
2006      7         3.7800
2006      8         4.7400
2006      9         1.8800
2006      10        3.4000
2006      11        2.6300
2006      12        1.4100
2007      1         1.8400
2007      2         1.6200
2007      3         2.5900
2007      4         4.4500
2007      5         2.8300
2007      6         3.3800
2007      7         1.9300
2007      8         1.1900
2007      9         2.0500
2007      10        2.0800
2007      11        1.5600
2007      12        2.7000
2008      1         2.0800
2008      2         4.0000
2008      3         5.5400
2008      4         3.4500
2008      5         6.8800
2008      6         3.7900
2008      7         9.0900
2008      8         2.2300
2008      9         9.8400
2008      10        2.9600
2008      11        1.0900
2008      12        2.7500
2009      1         0.1400
2009      2         1.9100
2009      3         2.8800
2009      4         4.0700
2009      5         4.5300
2009      6         7.3500
2009      7         4.2600
2009      8         3.1600
2009      9         3.4500
2009      10        12.4800
2009      11        2.9000
2009      12        3.4400
2010      1         1.8500
2010      2         1.9900
2010      3         2.2200
2010      4         5.5100
2010      5         3.8200
2010      6         3.7400
2010      7         6.6900
2010      8         3.8000
2010      9         7.7900
2010      10        0.6900
2010      11        1.2600
2010      12        2.3900
2011      1         0.2700
2011      2         2.1100
2011      3         2.8900
2011      4         3.3000
2011      5         5.4400
2011      6         4.3200
2011      7         2.6400
2011      8         1.8300
2011      9         1.9700
2011      10        0.3900
2011      11        3.8400
2011      12        3.1800
2012      1         0.7300
2012      2         2.2800
2012      3         2.2300
2012      4         6.1700
2012      5         1.2500
2012      6         1.2600
2012      7         0.9500
2012      8         2.7600
2012      9         2.2300
2012      10        3.2000
2012      11        0.7100
2012      12        1.1900
2013      1         2.0500
2013      2         1.7600
2013      3         2.2800
2013      4         5.2600
2013      5         9.3100
2013      6         1.6700
2013      7         2.1200
2013      8         0.7800
2013      9         1.8900
2013      10        2.6000
2013      11        1.7000
2013      12        1.0900
2014      1         0.4200
2014      2         0.7600
2014      3         0.9000
2014      4         6.5000
2014      5         4.2400
2014      6         4.7300
2014      7         1.6400
2014      8         2.5000
2014      9         5.5300
2014      10        7.5800
2014      11        1.7500
2014      12        1.8000
2015      1         0.8800
2015      2         0.9000
2015      3         1.8700
2015      4         5.6500
2015      5         6.8000
2015      6         9.2500
2015      7         5.7400
2015      8         1.1700
2015      9         0.7700
2015      10        1.3800
2015      11        6.7000
2015      12        6.3100
2016      1         0.5900
2016      2         0.7100
2016      3         2.4400
2016      4         2.7700
2016      5         4.5900
2016      6         1.2900
2016      7         8.5300
2016      8         8.6900
2016      9         6.6200
2016      10        0.8500
2016      11        2.1500
2016      12        0.9400
2017      1         0.6700
2017      2         0.4500
2017      3         3.8800
2017      4         8.0900
2017      5         6.3800
2017      6         4.0600
2017      7         4.1800
2017      8         2.2100
2017      9         2.2300
2017      10        3.6600
2017      11        0.6100
2017      12        0.1600
2018      1         1.9800
2018      2         3.4600
2018      3         5.3100
2018      4         0.7000
2018      5         2.4800
2018      6         5.9000
2018      7         1.7700
2018      8         4.6300
2018      9         2.5700
2018      10        4.9500
2018      11        2.3900
2018      12        3.9500
2019      1         1.4600
2019      2         1.4300
2019      3         3.6700
2019      4         4.4600
2019      5         3.8000
2019      6         4.9100
2019      7         3.4800
2019      8         4.9400
2019      9         1.7800
2019      10        4.6200
2019      11        2.1100
2019      12        1.1100
2020      1         4.5100
2020      2         2.2600
2020      3         4.3600
2020      4         3.9500
2020      5         2.9000
2020      6         4.0600
2020      7         4.9500
2020      8         1.3400
2020      9         2.8000
2020      10        1.5900
2020      11        2.8400
2020      12        0.8300
2021      1         3.1800
2021      2         0.8900
2021      3         3.5100
2021      4         4.9900
2021      5         2.5300
2021      6         9.3700
2021      7         5.3800
2021      8         1.4700
2021      9         2.3800
2021      10        3.8600
2021      11        0.5300
2021      12        1.5900
2022      1         1.0100
2022      2         0.8700
2022      3         4.4100
2022      4         4.7500
2022      5         5.1600
2022      6         1.9200
2022      7         3.0700
2022      8         4.2500
2022      9         0.8800
2022      10        3.1800
2022      11        2.2700
2022      12        0.8800
2023      1         1.5000
2023      2         2.7000
2023      3         2.5500
2023      4         1.3400
2023      5         1.5500
2023      6         0.6600
2023      7         3.3100
2023      8         5.9800
2023      9         0.4200
2023      10        2.8400
2023      11        0.6200
2023      12        2.2700
2024      1         2.9000
2024      2         0.1100
2024      3         3.7300
2024      4         3.9900
2024      5         4.0100
