Albany, Gentry County, MO = alb
Auxvasse, Audrain County, MO = aux
Brunswick, Carroll County, MO = bwk
Cardwell, Dunklin County, MO = crd
Charleston, Mississippi County, MO = chs
Clarkton, Dunklin County, MO = clk
Columbia-Sanborn Field, Boone County, MO = san
Columbia-South Farms, Boone County, MO = sfm
Cook Station, Crawford County, MO = wur
Corning, Atchison County, MO = crn
Delta, Cape Girardeau County, MO = del
Glennonville, Dunklin County, MO = gln
Hayward, Pemiscot County, MO = lee
Lamar, Barton County, MO = lam
Linneus, Linn County, MO = lin
Monroe City, Monroe County, MO = mon
Novelty, Knox County, MO = nov
Portageville, Pemiscot County, MO = pvl
St. Joseph, Buchanan County, MO = stj
