Timescale,Location,Month,Alpha,Beta
1,"Albany, Gentry County, MO",January,1.3755217555582238,0.48447070895622224
1,"Albany, Gentry County, MO",February,0.9373044092700745,0.8991742616001671
1,"Albany, Gentry County, MO",March,4.29926504389362,0.472638923014554
1,"Albany, Gentry County, MO",April,4.177559777730835,0.8076485267992235
1,"Albany, Gentry County, MO",May,3.3670924371176385,1.449915644216522
1,"Albany, Gentry County, MO",June,3.7524114433078055,1.3908833681004595
1,"Albany, Gentry County, MO",July,2.8447617261161944,1.2392660637978055
1,"Albany, Gentry County, MO",August,1.7620251137609997,2.323557499148107
1,"Albany, Gentry County, MO",September,1.4588188346735238,1.9550634154456985
1,"Albany, Gentry County, MO",October,2.487532380095051,1.0743578742874018
1,"Albany, Gentry County, MO",November,1.3248020513531724,1.1272124253642426
1,"Albany, Gentry County, MO",December,0.5202615023916998,2.011808796067024
1,"Auxvasse, Audrain County, MO",January,1.7576444463589849,1.0074847639226847
1,"Auxvasse, Audrain County, MO",February,1.7328542697195664,0.9727303845191704
1,"Auxvasse, Audrain County, MO",March,6.805637753274297,0.447863978454269
1,"Auxvasse, Audrain County, MO",April,3.046108205145829,1.323262250924218
1,"Auxvasse, Audrain County, MO",May,5.5318691807813885,0.8161436672770839
1,"Auxvasse, Audrain County, MO",June,2.80537867611296,1.8212039288206752
1,"Auxvasse, Audrain County, MO",July,1.8150812262138531,2.2659683805699182
1,"Auxvasse, Audrain County, MO",August,3.2426450314593116,1.1811345253465368
1,"Auxvasse, Audrain County, MO",September,1.701981066167706,1.670357398962121
1,"Auxvasse, Audrain County, MO",October,2.4295345166031592,1.3486808458057722
1,"Auxvasse, Audrain County, MO",November,2.6828741802779676,0.7659695766601643
1,"Auxvasse, Audrain County, MO",December,2.1645401562734525,0.941885967876883
1,"Brunswick, Carroll County, MO",January,0.338054059660305,3.1699072070804344
1,"Brunswick, Carroll County, MO",February,1.3514657981101965,1.0767568088921367
1,"Brunswick, Carroll County, MO",March,5.29941392636174,0.5145474646801289
1,"Brunswick, Carroll County, MO",April,3.998613261403206,0.9200189564741812
1,"Brunswick, Carroll County, MO",May,3.705204327277818,1.267406487012853
1,"Brunswick, Carroll County, MO",June,3.2758525194641943,1.6446100574091753
1,"Brunswick, Carroll County, MO",July,3.3742421946506007,1.1822407630047849
1,"Brunswick, Carroll County, MO",August,3.3530950565014606,1.3514876823966036
1,"Brunswick, Carroll County, MO",September,2.077001394030873,1.1966369757427922
1,"Brunswick, Carroll County, MO",October,2.322487769902009,1.447083328914638
1,"Brunswick, Carroll County, MO",November,1.6617146189189624,1.0950035058469145
1,"Brunswick, Carroll County, MO",December,1.6569027328881103,0.9035432821236288
1,"Cardwell, Dunklin County, MO",January,2.718220994219482,1.285105224162632
1,"Cardwell, Dunklin County, MO",February,3.249251819744302,1.2453328410903004
1,"Cardwell, Dunklin County, MO",March,4.97859668683471,0.9659750131633161
1,"Cardwell, Dunklin County, MO",April,3.124521426909925,1.447261638583848
1,"Cardwell, Dunklin County, MO",May,2.591234605603996,2.0106245836762398
1,"Cardwell, Dunklin County, MO",June,6.834404697856652,0.46096431306660457
1,"Cardwell, Dunklin County, MO",July,3.5803050088607904,1.0862668563548312
1,"Cardwell, Dunklin County, MO",August,2.240174928296362,1.4279018837750441
1,"Cardwell, Dunklin County, MO",September,1.6250056333924288,1.6940966912339646
1,"Cardwell, Dunklin County, MO",October,1.9263075536083087,2.03757701761995
1,"Cardwell, Dunklin County, MO",November,2.60076422631688,1.6046565433359083
1,"Cardwell, Dunklin County, MO",December,2.5314001499051835,1.7297739356869402
1,"Charleston, Mississippi County, MO",January,2.6868755218043865,1.3578597037684486
1,"Charleston, Mississippi County, MO",February,2.6759132156597185,1.3170830726029714
1,"Charleston, Mississippi County, MO",March,5.146362072864778,0.9250806555571106
1,"Charleston, Mississippi County, MO",April,2.787304020541571,1.661246841383423
1,"Charleston, Mississippi County, MO",May,4.920462962023381,0.9712907173545127
1,"Charleston, Mississippi County, MO",June,3.026701769666541,1.1759224851409094
1,"Charleston, Mississippi County, MO",July,4.0565862065736935,0.8955600797733644
1,"Charleston, Mississippi County, MO",August,1.8044438446296387,1.832743835878201
1,"Charleston, Mississippi County, MO",September,1.8820843434597267,1.5357529947108435
1,"Charleston, Mississippi County, MO",October,0.5000129179142108,7.391475701968648
1,"Charleston, Mississippi County, MO",November,2.8499537368194723,1.3444662687903064
1,"Charleston, Mississippi County, MO",December,3.4132307372444934,1.2057247175996806
1,"Clarkton, Dunklin County, MO",January,1.90007672231652,1.9674994994634996
1,"Clarkton, Dunklin County, MO",February,2.739960854135408,1.2841059370573482
1,"Clarkton, Dunklin County, MO",March,4.739544005438296,0.9788283418777931
1,"Clarkton, Dunklin County, MO",April,4.055016560896148,1.1918077096661632
1,"Clarkton, Dunklin County, MO",May,3.9458407498624273,1.2398878490650123
1,"Clarkton, Dunklin County, MO",June,2.3080172040800933,1.2128014738444426
1,"Clarkton, Dunklin County, MO",July,8.08591605073511,0.4185260699632176
1,"Clarkton, Dunklin County, MO",August,2.6105880041464506,1.22386220844703
1,"Clarkton, Dunklin County, MO",September,1.580357840923355,1.831072637580151
1,"Clarkton, Dunklin County, MO",October,1.365348111511451,2.7111522955628455
1,"Clarkton, Dunklin County, MO",November,3.01871495913193,1.3372135896949546
1,"Clarkton, Dunklin County, MO",December,2.9365345678845114,1.530857738209831
1,"Columbia-Sanborn Field, Boone County, MO",January,1.7105298981552965,1.0668039196905805
1,"Columbia-Sanborn Field, Boone County, MO",February,1.4230016320600183,1.2337301381436176
1,"Columbia-Sanborn Field, Boone County, MO",March,5.5202057437914,0.5862100346059643
1,"Columbia-Sanborn Field, Boone County, MO",April,2.4132787757213756,1.7531335553371088
1,"Columbia-Sanborn Field, Boone County, MO",May,4.076038277559881,1.1134340972913805
1,"Columbia-Sanborn Field, Boone County, MO",June,3.411752414633702,1.3911472531659586
1,"Columbia-Sanborn Field, Boone County, MO",July,1.801368438983675,2.2929327379006543
1,"Columbia-Sanborn Field, Boone County, MO",August,4.930966879724333,0.7800194351163489
1,"Columbia-Sanborn Field, Boone County, MO",September,1.5462222806561994,2.051235909898186
1,"Columbia-Sanborn Field, Boone County, MO",October,2.3742449039266442,1.5399632927728355
1,"Columbia-Sanborn Field, Boone County, MO",November,2.549537390860574,0.8336479686023553
1,"Columbia-Sanborn Field, Boone County, MO",December,2.253211161586872,0.8489735446807631
1,"Columbia-South Farms, Boone County, MO",January,1.7056705866043946,1.0325557665892287
1,"Columbia-South Farms, Boone County, MO",February,1.220770072298893,1.4168106176152437
1,"Columbia-South Farms, Boone County, MO",March,4.215192244606372,0.7722542202589341
1,"Columbia-South Farms, Boone County, MO",April,2.46442094837492,1.7513241814252727
1,"Columbia-South Farms, Boone County, MO",May,4.52243920997081,1.0299751492137945
1,"Columbia-South Farms, Boone County, MO",June,3.545703075746093,1.2533950451650602
1,"Columbia-South Farms, Boone County, MO",July,2.0412159831478904,2.033510107554648
1,"Columbia-South Farms, Boone County, MO",August,3.420625040648331,1.1731530404765074
1,"Columbia-South Farms, Boone County, MO",September,1.6367124697853934,1.9874698377493214
1,"Columbia-South Farms, Boone County, MO",October,2.3653893192357938,1.5097937456037018
1,"Columbia-South Farms, Boone County, MO",November,2.7413609708850806,0.7706026395414665
1,"Columbia-South Farms, Boone County, MO",December,2.1970816466678174,0.9030919127543275
1,"Cook Station, Crawford County, MO",January,2.4320020830854547,0.9876636277599765
1,"Cook Station, Crawford County, MO",February,2.427279674671698,1.0273229023092578
1,"Cook Station, Crawford County, MO",March,4.638376663696519,0.9263585757771767
1,"Cook Station, Crawford County, MO",April,3.6694305608932436,1.1369611526548187
