Timescale,Location,Month,Alpha,Beta
3,"Albany, Gentry County, MO",January,6.290147764110858,0.5629756458671309
3,"Albany, Gentry County, MO",February,11.453973649258133,0.5455573926961785
3,"Albany, Gentry County, MO",March,8.347801408300299,1.232420310079555
3,"Albany, Gentry County, MO",April,10.02574987065735,1.3389272795831137
3,"Albany, Gentry County, MO",May,7.876027408923224,1.7234259475432354
3,"Albany, Gentry County, MO",June,8.347208284179771,1.5380890907482108
3,"Albany, Gentry County, MO",July,6.613756304056356,1.5833160741565535
3,"Albany, Gentry County, MO",August,5.9450892885146525,1.6179319659138696
3,"Albany, Gentry County, MO",September,8.925892025032553,0.7862426127366325
3,"Albany, Gentry County, MO",October,10.264803994144083,0.5078031692639873
3,"Albany, Gentry County, MO",November,3.7259678490489407,0.8582781162706329
3,"Albany, Gentry County, MO",December,3.8226613476931615,0.6744864634658951
3,"Auxvasse, Audrain County, MO",January,9.962826328871452,0.6528669461245934
3,"Auxvasse, Audrain County, MO",February,14.398065726834199,0.6087206550089204
3,"Auxvasse, Audrain County, MO",March,9.806495991801523,1.182236755084848
3,"Auxvasse, Audrain County, MO",April,6.846885069723669,1.9894691568579839
3,"Auxvasse, Audrain County, MO",May,6.021781734579259,2.2801944571630517
3,"Auxvasse, Audrain County, MO",June,7.012363914170724,1.861295776030309
3,"Auxvasse, Audrain County, MO",July,4.545660719106021,2.372775708512303
3,"Auxvasse, Audrain County, MO",August,5.81715685324697,1.7103859470249219
3,"Auxvasse, Audrain County, MO",September,7.875134411617457,1.0380246109036726
3,"Auxvasse, Audrain County, MO",October,6.484965631104644,1.1365390483204758
3,"Auxvasse, Audrain County, MO",November,5.797792952866985,1.0071361144207853
3,"Auxvasse, Audrain County, MO",December,5.871230402828483,0.942519645870838
3,"Brunswick, Carroll County, MO",January,8.861764773089458,0.5928390263814742
3,"Brunswick, Carroll County, MO",February,19.82164665750228,0.39657653755646843
3,"Brunswick, Carroll County, MO",March,10.057046647517513,1.1038628326179956
3,"Brunswick, Carroll County, MO",April,6.463127753888217,2.123584821891079
3,"Brunswick, Carroll County, MO",May,6.563462645834988,2.150795613307064
3,"Brunswick, Carroll County, MO",June,10.351398384871004,1.3436187862077589
3,"Brunswick, Carroll County, MO",July,7.947820225287332,1.3848136580998345
3,"Brunswick, Carroll County, MO",August,8.045603276309777,1.2898867008921966
3,"Brunswick, Carroll County, MO",September,19.983545876123443,0.38360726274272244
3,"Brunswick, Carroll County, MO",October,9.08435405532871,0.7350550143059544
3,"Brunswick, Carroll County, MO",November,4.14721145612885,1.0507060096152998
3,"Brunswick, Carroll County, MO",December,4.3340818456108465,0.9344539730373255
3,"Cardwell, Dunklin County, MO",January,15.169583687959816,0.8140500262971164
3,"Cardwell, Dunklin County, MO",February,9.955709292731274,1.3437113928052387
3,"Cardwell, Dunklin County, MO",March,10.173701887349393,1.4292929123647138
3,"Cardwell, Dunklin County, MO",April,8.029913504130745,1.6091393753435894
3,"Cardwell, Dunklin County, MO",May,8.26545362216266,1.4734016897486224
3,"Cardwell, Dunklin County, MO",June,11.7152973099209,0.8739285963116937
3,"Cardwell, Dunklin County, MO",July,10.90261560330727,0.9026121521195474
3,"Cardwell, Dunklin County, MO",August,6.840829612550333,1.443782001037816
3,"Cardwell, Dunklin County, MO",September,6.953267374030207,1.56059725829448
3,"Cardwell, Dunklin County, MO",October,5.983334902099652,2.0853058599569474
3,"Cardwell, Dunklin County, MO",November,11.174913921271372,1.0588075592162767
3,"Cardwell, Dunklin County, MO",December,8.789288868696458,1.338087018088596
3,"Charleston, Mississippi County, MO",January,11.788729193884201,1.0122889247715483
3,"Charleston, Mississippi County, MO",February,8.743734344084658,1.4771263046020726
3,"Charleston, Mississippi County, MO",March,9.017606918507713,1.5714146921858732
3,"Charleston, Mississippi County, MO",April,7.22383437747189,1.7802756811358955
3,"Charleston, Mississippi County, MO",May,15.007550140692963,0.7869094704146051
3,"Charleston, Mississippi County, MO",June,7.891559641865174,1.3304298697899954
3,"Charleston, Mississippi County, MO",July,6.734687163179573,1.4596693845725035
3,"Charleston, Mississippi County, MO",August,6.265182136124338,1.5790974816820538
3,"Charleston, Mississippi County, MO",September,6.553597320553624,1.5896485788184798
3,"Charleston, Mississippi County, MO",October,7.502543860443065,1.5518625260098233
3,"Charleston, Mississippi County, MO",November,13.436161066365498,0.8528911849769281
3,"Charleston, Mississippi County, MO",December,11.599797173319152,0.972215275111838
3,"Clarkton, Dunklin County, MO",January,10.128310619838588,1.174529538697104
3,"Clarkton, Dunklin County, MO",February,12.99906229871454,0.9993336212708668
3,"Clarkton, Dunklin County, MO",March,11.355840169018352,1.2649350278185294
3,"Clarkton, Dunklin County, MO",April,6.94462410980254,1.7863337843233382
3,"Clarkton, Dunklin County, MO",May,13.54021937656555,0.8027934923205914
3,"Clarkton, Dunklin County, MO",June,9.297737561235362,1.0086683208325855
3,"Clarkton, Dunklin County, MO",July,7.934135466060056,1.1939444073382757
3,"Clarkton, Dunklin County, MO",August,5.046505904625921,1.9400386825649407
3,"Clarkton, Dunklin County, MO",September,6.071161420390728,1.7512437237666256
3,"Clarkton, Dunklin County, MO",October,6.118339668067826,1.9995212204299575
3,"Clarkton, Dunklin County, MO",November,10.374558269215948,1.165993418983502
3,"Clarkton, Dunklin County, MO",December,8.978870437683424,1.299114784469797
3,"Columbia-Sanborn Field, Boone County, MO",January,8.175339590058565,0.833775762463608
3,"Columbia-Sanborn Field, Boone County, MO",February,10.577070099356906,0.8719238800034737
3,"Columbia-Sanborn Field, Boone County, MO",March,8.92027330909244,1.345833203099628
3,"Columbia-Sanborn Field, Boone County, MO",April,8.446313310430092,1.6102192953192882
3,"Columbia-Sanborn Field, Boone County, MO",May,6.51705542255651,2.069441763543591
3,"Columbia-Sanborn Field, Boone County, MO",June,6.482648827870122,1.9626108099621966
3,"Columbia-Sanborn Field, Boone County, MO",July,5.161592157689742,2.159863273355401
3,"Columbia-Sanborn Field, Boone County, MO",August,7.759730627125317,1.3755846922641226
3,"Columbia-Sanborn Field, Boone County, MO",September,9.301520130852198,0.9625666780783536
3,"Columbia-Sanborn Field, Boone County, MO",October,6.744877182599999,1.1408040687951035
3,"Columbia-Sanborn Field, Boone County, MO",November,5.497941336049361,1.062594701607213
3,"Columbia-Sanborn Field, Boone County, MO",December,5.67468291416941,0.9763394273418365
3,"Columbia-South Farms, Boone County, MO",January,6.657334814989401,1.0133184205954258
3,"Columbia-South Farms, Boone County, MO",February,9.812551306388206,0.9478472733227857
3,"Columbia-South Farms, Boone County, MO",March,8.6804541912822,1.408820291037514
3,"Columbia-South Farms, Boone County, MO",April,9.331115177195844,1.4435573609700059
3,"Columbia-South Farms, Boone County, MO",May,7.593361020828842,1.7516946663821498
