Timescale_Months,Location,Month,SPI_Value,Severity_Label,Rainfall_Threshold_in
1,"Albany, Gentry County, MO",January,-2,Exceptional Drought,0.037
1,"Albany, Gentry County, MO",January,-1.6,Extreme Drought,0.0723
1,"Albany, Gentry County, MO",January,-1.3,Severe Drought,0.1131
1,"Albany, Gentry County, MO",January,-0.8,Moderate Drought,0.2182
1,"Albany, Gentry County, MO",January,-0.5,Abnormally Dry,0.3085
1,"Albany, Gentry County, MO",January,0.5,Abnormally Wet,0.7972
1,"Albany, Gentry County, MO",January,0.8,Moderate Wet,1.0088
1,"Albany, Gentry County, MO",January,1.3,Severe Wet,1.4359
1,"Albany, Gentry County, MO",January,1.6,Extreme Wet,1.7389
1,"Albany, Gentry County, MO",January,2,Exceptional Wet,2.1998
1,"Albany, Gentry County, MO",February,-2,Exceptional Drought,0.0156
1,"Albany, Gentry County, MO",February,-1.6,Extreme Drought,0.0404
1,"Albany, Gentry County, MO",February,-1.3,Severe Drought,0.0757
1,"Albany, Gentry County, MO",February,-0.8,Moderate Drought,0.1856
1,"Albany, Gentry County, MO",February,-0.5,Abnormally Dry,0.2941
1,"Albany, Gentry County, MO",February,0.5,Abnormally Wet,0.9854
1,"Albany, Gentry County, MO",February,0.8,Moderate Wet,1.3129
1,"Albany, Gentry County, MO",February,1.3,Severe Wet,2.0004
1,"Albany, Gentry County, MO",February,1.6,Extreme Wet,2.5024
1,"Albany, Gentry County, MO",February,2,Exceptional Wet,3.2807
1,"Albany, Gentry County, MO",March,-2,Exceptional Drought,0.5716
1,"Albany, Gentry County, MO",March,-1.6,Extreme Drought,0.7508
1,"Albany, Gentry County, MO",March,-1.3,Severe Drought,0.9096
1,"Albany, Gentry County, MO",March,-0.8,Moderate Drought,1.2252
1,"Albany, Gentry County, MO",March,-0.5,Abnormally Dry,1.4475
1,"Albany, Gentry County, MO",March,0.5,Abnormally Wet,2.3843
1,"Albany, Gentry County, MO",March,0.8,Moderate Wet,2.7283
1,"Albany, Gentry County, MO",March,1.3,Severe Wet,3.3704
1,"Albany, Gentry County, MO",March,1.6,Extreme Wet,3.7983
1,"Albany, Gentry County, MO",March,2,Exceptional Wet,4.42
1,"Albany, Gentry County, MO",April,-2,Exceptional Drought,0.9265
1,"Albany, Gentry County, MO",April,-1.6,Extreme Drought,1.2237
1,"Albany, Gentry County, MO",April,-1.3,Severe Drought,1.4881
1,"Albany, Gentry County, MO",April,-0.8,Moderate Drought,2.0154
1,"Albany, Gentry County, MO",April,-0.5,Abnormally Dry,2.3878
1,"Albany, Gentry County, MO",April,0.5,Abnormally Wet,3.9636
1,"Albany, Gentry County, MO",April,0.8,Moderate Wet,4.544
1,"Albany, Gentry County, MO",April,1.3,Severe Wet,5.629
1,"Albany, Gentry County, MO",April,1.6,Extreme Wet,6.3528
1,"Albany, Gentry County, MO",April,2,Exceptional Wet,7.4057
1,"Albany, Gentry County, MO",May,-2,Exceptional Drought,1.0973
1,"Albany, Gentry County, MO",May,-1.6,Extreme Drought,1.5185
1,"Albany, Gentry County, MO",May,-1.3,Severe Drought,1.9047
1,"Albany, Gentry County, MO",May,-0.8,Moderate Drought,2.6982
1,"Albany, Gentry County, MO",May,-0.5,Abnormally Dry,3.2726
1,"Albany, Gentry County, MO",May,0.5,Abnormally Wet,5.7829
1,"Albany, Gentry County, MO",May,0.8,Moderate Wet,6.7296
1,"Albany, Gentry County, MO",May,1.3,Severe Wet,8.5205
1,"Albany, Gentry County, MO",May,1.6,Extreme Wet,9.7273
1,"Albany, Gentry County, MO",May,2,Exceptional Wet,11.4959
1,"Albany, Gentry County, MO",June,-2,Exceptional Drought,1.3031
1,"Albany, Gentry County, MO",June,-1.6,Extreme Drought,1.7594
1,"Albany, Gentry County, MO",June,-1.3,Severe Drought,2.1712
1,"Albany, Gentry County, MO",June,-0.8,Moderate Drought,3.0043
1,"Albany, Gentry County, MO",June,-0.5,Abnormally Dry,3.5995
