Period,Start Date,End Date,Station Name,Station Code,Total Precipitation (in)
Past Month,10/1/2025,10/31/2025,"Albany, Gentry County, MO",alb,2.99
Past Month,10/1/2025,10/31/2025,"Auxvasse, Audrain County, MO",aux,2.89
Past Month,10/1/2025,10/31/2025,"Brunswick, Carroll County, MO",bwk,2.17
Past Month,10/1/2025,10/31/2025,"Cardwell, Dunklin County, MO",crd,4.83
Past Month,10/1/2025,10/31/2025,"Charleston, Mississippi County, MO",chs,4.04
Past Month,10/1/2025,10/31/2025,"Clarkton, Dunklin County, MO",clk,4.97
Past Month,10/1/2025,10/31/2025,"Columbia-Sanborn Field, Boone County, MO",san,2.5
Past Month,10/1/2025,10/31/2025,"Columbia-South Farms, Boone County, MO",sfm,2.82
Past Month,10/1/2025,10/31/2025,"Cook Station, Crawford County, MO",wur,3.18
Past Month,10/1/2025,10/31/2025,"Corning, Atchison County, MO",crn,2.89
Past Month,10/1/2025,10/31/2025,"Delta, Cape Girardeau County, MO",del,5.53
Past Month,10/1/2025,10/31/2025,"Glennonville, Dunklin County, MO",gln,3.98
Past Month,10/1/2025,10/31/2025,"Hayward, Pemiscot County, MO",lee,5.6
Past Month,10/1/2025,10/31/2025,"Lamar, Barton County, MO",lam,2.49
Past Month,10/1/2025,10/31/2025,"Linneus, Linn County, MO",lin,2.82
Past Month,10/1/2025,10/31/2025,"Monroe City, Monroe County, MO",mon,1.83
Past Month,10/1/2025,10/31/2025,"Novelty, Knox County, MO",nov,2.08
Past Month,10/1/2025,10/31/2025,"Portageville, Pemiscot County, MO",pvl,6.12
Past Month,10/1/2025,10/31/2025,"St. Joseph, Buchanan County, MO",stj,1.66
Past 3 Months,8/1/2025,10/31/2025,"Albany, Gentry County, MO",alb,6.02
Past 3 Months,8/1/2025,10/31/2025,"Auxvasse, Audrain County, MO",aux,5.58
Past 3 Months,8/1/2025,10/31/2025,"Brunswick, Carroll County, MO",bwk,5.06
Past 3 Months,8/1/2025,10/31/2025,"Cardwell, Dunklin County, MO",crd,7.52
Past 3 Months,8/1/2025,10/31/2025,"Charleston, Mississippi County, MO",chs,7.32
Past 3 Months,8/1/2025,10/31/2025,"Clarkton, Dunklin County, MO",clk,10.37
Past 3 Months,8/1/2025,10/31/2025,"Columbia-Sanborn Field, Boone County, MO",san,4.44
Past 3 Months,8/1/2025,10/31/2025,"Columbia-South Farms, Boone County, MO",sfm,4.66
Past 3 Months,8/1/2025,10/31/2025,"Cook Station, Crawford County, MO",wur,8.84
Past 3 Months,8/1/2025,10/31/2025,"Corning, Atchison County, MO",crn,9.2
Past 3 Months,8/1/2025,10/31/2025,"Delta, Cape Girardeau County, MO",del,9.55
Past 3 Months,8/1/2025,10/31/2025,"Glennonville, Dunklin County, MO",gln,8.78
Past 3 Months,8/1/2025,10/31/2025,"Hayward, Pemiscot County, MO",lee,10.25
Past 3 Months,8/1/2025,10/31/2025,"Lamar, Barton County, MO",lam,7.03
Past 3 Months,8/1/2025,10/31/2025,"Linneus, Linn County, MO",lin,4.89
Past 3 Months,8/1/2025,10/31/2025,"Monroe City, Monroe County, MO",mon,3.2
Past 3 Months,8/1/2025,10/31/2025,"Novelty, Knox County, MO",nov,6.32
Past 3 Months,8/1/2025,10/31/2025,"Portageville, Pemiscot County, MO",pvl,11.31
Past 3 Months,8/1/2025,10/31/2025,"St. Joseph, Buchanan County, MO",stj,4.01
Past 6 Months,5/1/2025,10/31/2025,"Albany, Gentry County, MO",alb,26.32
Past 6 Months,5/1/2025,10/31/2025,"Auxvasse, Audrain County, MO",aux,19.26
Past 6 Months,5/1/2025,10/31/2025,"Brunswick, Carroll County, MO",bwk,18.17
Past 6 Months,5/1/2025,10/31/2025,"Cardwell, Dunklin County, MO",crd,17.21
Past 6 Months,5/1/2025,10/31/2025,"Charleston, Mississippi County, MO",chs,21.14
Past 6 Months,5/1/2025,10/31/2025,"Clarkton, Dunklin County, MO",clk,23.93
Past 6 Months,5/1/2025,10/31/2025,"Columbia-Sanborn Field, Boone County, MO",san,16.06
Past 6 Months,5/1/2025,10/31/2025,"Columbia-South Farms, Boone County, MO",sfm,18.74
Past 6 Months,5/1/2025,10/31/2025,"Cook Station, Crawford County, MO",wur,27.6
Past 6 Months,5/1/2025,10/31/2025,"Corning, Atchison County, MO",crn,24.56
Past 6 Months,5/1/2025,10/31/2025,"Delta, Cape Girardeau County, MO",del,21.77
Past 6 Months,5/1/2025,10/31/2025,"Glennonville, Dunklin County, MO",gln,19.72
Past 6 Months,5/1/2025,10/31/2025,"Hayward, Pemiscot County, MO",lee,23.96
Past 6 Months,5/1/2025,10/31/2025,"Lamar, Barton County, MO",lam,24.25
Past 6 Months,5/1/2025,10/31/2025,"Linneus, Linn County, MO",lin,24.95
