location,duration
"Albany, Gentry County, MO",1.6666666666666667
"Auxvasse, Audrain County, MO",1.0
"Brunswick, Carroll County, MO",1.6
"Cardwell, Dunklin County, MO",1.0
"Charleston, Mississippi County, MO",1.0
"Clarkton, Dunklin County, MO",1.25
"Columbia-Sanborn Field, Boone County, MO",1.3333333333333333
"Columbia-South Farms, Boone County, MO",1.6666666666666667
"Cook Station, Crawford County, MO",1.25
"Corning, Atchison County, MO",1.0
"Delta, Cape Girardeau County, MO",1.5
"Glennonville, Dunklin County, MO",1.3333333333333333
"Hayward, Pemiscot County, MO",1.3333333333333333
"Lamar, Barton County, MO",2.0
"Linneus, Linn County, MO",1.75
"Monroe City, Monroe County, MO",1.6666666666666667
"Novelty, Knox County, MO",1.0
"Portageville, Pemiscot County, MO",1.25
"St. Joseph, Buchanan County, MO",1.2
