location,duration
"Albany, Gentry County, MO",128
"Auxvasse, Audrain County, MO",136
"Brunswick, Carroll County, MO",127
"Cardwell, Dunklin County, MO",125
"Charleston, Mississippi County, MO",118
"Clarkton, Dunklin County, MO",128
"Columbia-Sanborn Field, Boone County, MO",103
"Columbia-South Farms, Boone County, MO",105
"Cook Station, Crawford County, MO",124
"Corning, Atchison County, MO",139
"Delta, Cape Girardeau County, MO",127
"Glennonville, Dunklin County, MO",129
"Hayward, Pemiscot County, MO",119
"Lamar, Barton County, MO",126
"Linneus, Linn County, MO",138
"Monroe City, Monroe County, MO",126
"Novelty, Knox County, MO",138
"Portageville, Pemiscot County, MO",119
"St. Joseph, Buchanan County, MO",117
