location,SPI,start_date,end_date,duration
"Albany, Gentry County, MO",-1.6,7,8,1
"Albany, Gentry County, MO",-1.6,26,27,1
"Albany, Gentry County, MO",-1.6,34,36,2
"Albany, Gentry County, MO",-1.6,37,39,2
"Albany, Gentry County, MO",-1.6,47,48,1
"Albany, Gentry County, MO",-1.6,134,135,1
"Albany, Gentry County, MO",-1.6,152,155,3
"Albany, Gentry County, MO",-1.6,172,173,1
"Albany, Gentry County, MO",-1.6,183,184,1
"Albany, Gentry County, MO",-1.6,219,224,5
"Auxvasse, Audrain County, MO",-1.6,66,68,2
"Auxvasse, Audrain County, MO",-1.6,153,154,1
"Auxvasse, Audrain County, MO",-1.6,170,171,1
"Auxvasse, Audrain County, MO",-1.6,183,184,1
"Auxvasse, Audrain County, MO",-1.6,197,198,1
"Auxvasse, Audrain County, MO",-1.6,206,207,1
"Auxvasse, Audrain County, MO",-1.6,216,217,1
"Auxvasse, Audrain County, MO",-1.6,280,285,5
"Brunswick, Carroll County, MO",-1.6,37,39,2
"Brunswick, Carroll County, MO",-1.6,134,135,1
"Brunswick, Carroll County, MO",-1.6,151,152,1
"Brunswick, Carroll County, MO",-1.6,153,155,2
"Brunswick, Carroll County, MO",-1.6,166,169,3
"Brunswick, Carroll County, MO",-1.6,170,171,1
"Brunswick, Carroll County, MO",-1.6,172,173,1
"Brunswick, Carroll County, MO",-1.6,219,222,3
"Brunswick, Carroll County, MO",-1.6,264,266,2
"Brunswick, Carroll County, MO",-1.6,272,274,2
"Brunswick, Carroll County, MO",-1.6,281,286,5
"Cardwell, Dunklin County, MO",-1.6,11,13,2
"Cardwell, Dunklin County, MO",-1.6,16,17,1
"Cardwell, Dunklin County, MO",-1.6,19,21,2
"Cardwell, Dunklin County, MO",-1.6,69,70,1
"Cardwell, Dunklin County, MO",-1.6,73,77,4
"Cardwell, Dunklin County, MO",-1.6,90,92,2
"Cardwell, Dunklin County, MO",-1.6,106,107,1
"Cardwell, Dunklin County, MO",-1.6,125,126,1
"Cardwell, Dunklin County, MO",-1.6,129,130,1
"Cardwell, Dunklin County, MO",-1.6,132,133,1
"Cardwell, Dunklin County, MO",-1.6,149,152,3
"Cardwell, Dunklin County, MO",-1.6,216,217,1
"Cardwell, Dunklin County, MO",-1.6,274,275,1
"Charleston, Mississippi County, MO",-1.6,12,13,1
