location,duration
"Albany, Gentry County, MO",5
"Auxvasse, Audrain County, MO",5
"Brunswick, Carroll County, MO",4
"Cardwell, Dunklin County, MO",3
"Charleston, Mississippi County, MO",8
"Clarkton, Dunklin County, MO",4
"Columbia-Sanborn Field, Boone County, MO",6
"Columbia-South Farms, Boone County, MO",6
"Cook Station, Crawford County, MO",5
"Corning, Atchison County, MO",4
"Delta, Cape Girardeau County, MO",6
"Glennonville, Dunklin County, MO",5
"Hayward, Pemiscot County, MO",5
"Lamar, Barton County, MO",7
"Linneus, Linn County, MO",4
"Monroe City, Monroe County, MO",5
"Novelty, Knox County, MO",5
"Portageville, Pemiscot County, MO",7
"St. Joseph, Buchanan County, MO",5
