location,Fall,Spring,Summer,Winter,most_frequent_season,has_equal_max_columns
"Albany, Gentry County, MO",3,4,4,4,Tie,True
"Auxvasse, Audrain County, MO",4,4,3,5,Winter,False
"Brunswick, Carroll County, MO",5,4,2,5,Tie,True
"Cardwell, Dunklin County, MO",4,5,3,3,Spring,False
"Charleston, Mississippi County, MO",5,5,3,6,Winter,False
"Clarkton, Dunklin County, MO",2,7,3,4,Spring,False
"Columbia-Sanborn Field, Boone County, MO",2,4,4,5,Winter,False
"Columbia-South Farms, Boone County, MO",4,4,4,5,Winter,False
"Cook Station, Crawford County, MO",3,3,4,4,Tie,True
"Corning, Atchison County, MO",5,3,6,6,Tie,True
"Delta, Cape Girardeau County, MO",4,6,3,2,Spring,False
"Glennonville, Dunklin County, MO",3,6,3,5,Spring,False
"Hayward, Pemiscot County, MO",4,6,4,2,Spring,False
"Lamar, Barton County, MO",3,3,6,4,Summer,False
"Linneus, Linn County, MO",4,5,2,3,Spring,False
"Monroe City, Monroe County, MO",4,2,5,4,Summer,False
"Novelty, Knox County, MO",4,6,2,2,Spring,False
"Portageville, Pemiscot County, MO",4,7,3,3,Spring,False
"St. Joseph, Buchanan County, MO",5,5,5,7,Winter,False
