location,Fall,Spring,Summer,Winter,most_frequent_season,has_equal_max_columns
"Albany, Gentry County, MO",3,6,4,2,Spring,False
"Auxvasse, Audrain County, MO",1,1,5,5,Tie,True
"Brunswick, Carroll County, MO",1,4,5,3,Summer,False
"Cardwell, Dunklin County, MO",7,6,5,8,Winter,False
"Charleston, Mississippi County, MO",6,4,3,7,Winter,False
"Clarkton, Dunklin County, MO",5,5,2,4,Tie,True
"Columbia-Sanborn Field, Boone County, MO",3,2,4,2,Summer,False
"Columbia-South Farms, Boone County, MO",2,1,5,5,Tie,True
"Cook Station, Crawford County, MO",3,5,0,2,Spring,False
"Corning, Atchison County, MO",4,4,7,4,Summer,False
"Delta, Cape Girardeau County, MO",2,7,5,3,Spring,False
"Glennonville, Dunklin County, MO",6,5,4,4,Fall,False
"Hayward, Pemiscot County, MO",6,4,3,3,Fall,False
"Lamar, Barton County, MO",3,2,5,4,Summer,False
"Linneus, Linn County, MO",5,3,7,3,Summer,False
"Monroe City, Monroe County, MO",4,3,5,1,Summer,False
"Novelty, Knox County, MO",3,3,6,4,Summer,False
"Portageville, Pemiscot County, MO",7,4,4,5,Fall,False
"St. Joseph, Buchanan County, MO",1,2,7,1,Summer,False
