location,SPI,frequency
"Albany, Gentry County, MO",-3.2,
"Auxvasse, Audrain County, MO",-3.2,
"Brunswick, Carroll County, MO",-3.2,
"Cardwell, Dunklin County, MO",-3.2,
"Charleston, Mississippi County, MO",-3.2,
"Clarkton, Dunklin County, MO",-3.2,
"Columbia-Sanborn Field, Boone County, MO",-3.2,
"Columbia-South Farms, Boone County, MO",-3.2,
"Cook Station, Crawford County, MO",-3.2,
"Corning, Atchison County, MO",-3.2,
"Delta, Cape Girardeau County, MO",-3.2,
"Glennonville, Dunklin County, MO",-3.2,
"Hayward, Pemiscot County, MO",-3.2,
"Lamar, Barton County, MO",-3.2,
"Linneus, Linn County, MO",-3.2,
"Monroe City, Monroe County, MO",-3.2,
"Novelty, Knox County, MO",-3.2,
"Portageville, Pemiscot County, MO",-3.2,
"St. Joseph, Buchanan County, MO",-3.2,1.0
