location,SPI,start_date,end_date,duration
"Albany, Gentry County, MO",-1.3,2000-05-01,2000-06-01,31 days
"Albany, Gentry County, MO",-1.3,2001-12-01,2002-02-01,62 days
"Albany, Gentry County, MO",-1.3,2002-07-01,2002-09-01,62 days
"Albany, Gentry County, MO",-1.3,2002-11-01,2003-04-01,151 days
"Albany, Gentry County, MO",-1.3,2003-09-01,2003-11-01,61 days
"Albany, Gentry County, MO",-1.3,2006-07-01,2006-08-01,31 days
"Albany, Gentry County, MO",-1.3,2011-02-01,2011-03-01,28 days
"Albany, Gentry County, MO",-1.3,2012-06-01,2012-09-01,92 days
"Albany, Gentry County, MO",-1.3,2013-08-01,2013-10-01,61 days
"Albany, Gentry County, MO",-1.3,2014-02-01,2014-04-01,59 days
"Albany, Gentry County, MO",-1.3,2015-04-01,2015-05-01,30 days
"Albany, Gentry County, MO",-1.3,2018-01-01,2018-02-01,31 days
"Albany, Gentry County, MO",-1.3,2018-04-01,2018-08-01,122 days
"Albany, Gentry County, MO",-1.3,2020-10-01,2020-11-01,31 days
"Albany, Gentry County, MO",-1.3,2023-11-01,2023-12-01,30 days
"Auxvasse, Audrain County, MO",-1.3,2000-04-01,2000-06-01,61 days
"Auxvasse, Audrain County, MO",-1.3,2003-01-01,2003-02-01,31 days
"Auxvasse, Audrain County, MO",-1.3,2005-04-01,2005-08-01,122 days
"Auxvasse, Audrain County, MO",-1.3,2006-02-01,2006-03-01,28 days
"Auxvasse, Audrain County, MO",-1.3,2007-09-01,2007-11-01,61 days
"Auxvasse, Audrain County, MO",-1.3,2011-09-01,2011-11-01,61 days
"Auxvasse, Audrain County, MO",-1.3,2012-07-01,2012-09-01,62 days
"Auxvasse, Audrain County, MO",-1.3,2013-08-01,2013-09-01,31 days
"Auxvasse, Audrain County, MO",-1.3,2014-02-01,2014-04-01,59 days
"Auxvasse, Audrain County, MO",-1.3,2015-03-01,2015-04-01,31 days
"Auxvasse, Audrain County, MO",-1.3,2015-10-01,2015-11-01,31 days
"Auxvasse, Audrain County, MO",-1.3,2016-03-01,2016-05-01,61 days
"Auxvasse, Audrain County, MO",-1.3,2016-12-01,2017-01-01,31 days
"Auxvasse, Audrain County, MO",-1.3,2017-02-01,2017-03-01,28 days
"Auxvasse, Audrain County, MO",-1.3,2018-01-01,2018-02-01,31 days
"Auxvasse, Audrain County, MO",-1.3,2018-05-01,2018-07-01,61 days
"Auxvasse, Audrain County, MO",-1.3,2023-05-01,2023-08-01,92 days
"Auxvasse, Audrain County, MO",-1.3,2023-11-01,2023-12-01,30 days
"Brunswick, Carroll County, MO",-1.3,2000-04-01,2000-06-01,61 days
"Brunswick, Carroll County, MO",-1.3,2002-11-01,2002-12-01,30 days
"Brunswick, Carroll County, MO",-1.3,2003-01-01,2003-02-01,31 days
"Brunswick, Carroll County, MO",-1.3,2006-02-01,2006-03-01,28 days
"Brunswick, Carroll County, MO",-1.3,2010-12-01,2011-01-01,31 days
"Brunswick, Carroll County, MO",-1.3,2011-10-01,2011-11-01,31 days
"Brunswick, Carroll County, MO",-1.3,2012-07-01,2012-09-01,62 days
"Brunswick, Carroll County, MO",-1.3,2013-08-01,2013-11-01,92 days
"Brunswick, Carroll County, MO",-1.3,2014-02-01,2014-04-01,59 days
"Brunswick, Carroll County, MO",-1.3,2014-05-01,2014-06-01,31 days
"Brunswick, Carroll County, MO",-1.3,2015-04-01,2015-05-01,30 days
"Brunswick, Carroll County, MO",-1.3,2015-10-01,2015-11-01,31 days
"Brunswick, Carroll County, MO",-1.3,2018-01-01,2018-02-01,31 days
"Brunswick, Carroll County, MO",-1.3,2018-05-01,2018-08-01,92 days
"Brunswick, Carroll County, MO",-1.3,2021-09-01,2021-10-01,30 days
"Brunswick, Carroll County, MO",-1.3,2021-11-01,2021-12-01,30 days
"Brunswick, Carroll County, MO",-1.3,2022-09-01,2022-11-01,61 days
"Brunswick, Carroll County, MO",-1.3,2023-05-01,2023-08-01,92 days
"Cardwell, Dunklin County, MO",-1.3,2000-09-01,2000-11-01,61 days
"Cardwell, Dunklin County, MO",-1.3,2001-05-01,2001-06-01,31 days
"Cardwell, Dunklin County, MO",-1.3,2001-08-01,2001-10-01,61 days
"Cardwell, Dunklin County, MO",-1.3,2005-12-01,2006-01-01,31 days
"Cardwell, Dunklin County, MO",-1.3,2006-02-01,2006-03-01,28 days
"Cardwell, Dunklin County, MO",-1.3,2007-04-01,2007-06-01,61 days
"Cardwell, Dunklin County, MO",-1.3,2007-08-01,2007-09-01,31 days
"Cardwell, Dunklin County, MO",-1.3,2008-07-01,2008-09-01,62 days
"Cardwell, Dunklin County, MO",-1.3,2010-03-01,2010-04-01,31 days
"Cardwell, Dunklin County, MO",-1.3,2010-08-01,2010-09-01,31 days
"Cardwell, Dunklin County, MO",-1.3,2010-10-01,2010-11-01,31 days
"Cardwell, Dunklin County, MO",-1.3,2012-04-01,2012-07-01,91 days
"Cardwell, Dunklin County, MO",-1.3,2014-03-01,2014-04-01,31 days
"Cardwell, Dunklin County, MO",-1.3,2015-01-01,2015-03-01,59 days
"Cardwell, Dunklin County, MO",-1.3,2017-10-01,2018-01-01,92 days
"Cardwell, Dunklin County, MO",-1.3,2022-10-01,2022-12-01,61 days
"Cardwell, Dunklin County, MO",-1.3,2024-04-01,2024-05-01,30 days
"Charleston, Mississippi County, MO",-1.3,2001-01-01,2001-03-01,59 days
"Charleston, Mississippi County, MO",-1.3,2001-05-01,2001-07-01,61 days
"Charleston, Mississippi County, MO",-1.3,2004-02-01,2004-05-01,90 days
"Charleston, Mississippi County, MO",-1.3,2004-07-01,2004-08-01,31 days
"Charleston, Mississippi County, MO",-1.3,2004-09-01,2004-10-01,30 days
"Charleston, Mississippi County, MO",-1.3,2005-05-01,2005-07-01,61 days
"Charleston, Mississippi County, MO",-1.3,2005-12-01,2006-01-01,31 days
"Charleston, Mississippi County, MO",-1.3,2006-02-01,2006-03-01,28 days
"Charleston, Mississippi County, MO",-1.3,2008-09-01,2008-12-01,91 days
"Charleston, Mississippi County, MO",-1.3,2010-07-01,2010-09-01,62 days
"Charleston, Mississippi County, MO",-1.3,2011-08-01,2011-09-01,31 days
"Charleston, Mississippi County, MO",-1.3,2012-04-01,2012-09-01,153 days
"Charleston, Mississippi County, MO",-1.3,2014-03-01,2014-04-01,31 days
"Charleston, Mississippi County, MO",-1.3,2015-01-01,2015-03-01,59 days
"Charleston, Mississippi County, MO",-1.3,2015-10-01,2015-11-01,31 days
"Charleston, Mississippi County, MO",-1.3,2016-11-01,2016-12-01,30 days
"Charleston, Mississippi County, MO",-1.3,2017-11-01,2017-12-01,30 days
"Charleston, Mississippi County, MO",-1.3,2018-01-01,2018-02-01,31 days
"Charleston, Mississippi County, MO",-1.3,2022-10-01,2022-12-01,61 days
"Charleston, Mississippi County, MO",-1.3,2023-06-01,2023-08-01,61 days
"Charleston, Mississippi County, MO",-1.3,2023-12-01,2024-01-01,31 days
"Charleston, Mississippi County, MO",-1.3,2024-04-01,2024-05-01,30 days
"Clarkton, Dunklin County, MO",-1.3,2000-09-01,2000-11-01,61 days
"Clarkton, Dunklin County, MO",-1.3,2001-05-01,2001-06-01,31 days
"Clarkton, Dunklin County, MO",-1.3,2004-02-01,2004-03-01,29 days
"Clarkton, Dunklin County, MO",-1.3,2005-05-01,2005-06-01,31 days
"Clarkton, Dunklin County, MO",-1.3,2005-12-01,2006-01-01,31 days
"Clarkton, Dunklin County, MO",-1.3,2006-02-01,2006-03-01,28 days
"Clarkton, Dunklin County, MO",-1.3,2007-04-01,2007-06-01,61 days
"Clarkton, Dunklin County, MO",-1.3,2007-09-01,2007-10-01,30 days
"Clarkton, Dunklin County, MO",-1.3,2009-03-01,2009-04-01,31 days
"Clarkton, Dunklin County, MO",-1.3,2010-08-01,2010-11-01,92 days
"Clarkton, Dunklin County, MO",-1.3,2011-01-01,2011-03-01,59 days
"Clarkton, Dunklin County, MO",-1.3,2011-08-01,2011-09-01,31 days
"Clarkton, Dunklin County, MO",-1.3,2012-05-01,2012-08-01,92 days
"Clarkton, Dunklin County, MO",-1.3,2014-03-01,2014-04-01,31 days
"Clarkton, Dunklin County, MO",-1.3,2015-01-01,2015-03-01,59 days
"Clarkton, Dunklin County, MO",-1.3,2017-11-01,2017-12-01,30 days
"Clarkton, Dunklin County, MO",-1.3,2022-11-01,2022-12-01,30 days
"Clarkton, Dunklin County, MO",-1.3,2023-06-01,2023-08-01,61 days
"Clarkton, Dunklin County, MO",-1.3,2024-04-01,2024-05-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2003-01-01,2003-02-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2006-02-01,2006-03-01,28 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2006-04-01,2006-05-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2010-12-01,2011-01-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2012-07-01,2012-10-01,92 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2013-08-01,2013-09-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2014-02-01,2014-04-01,59 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2015-10-01,2015-11-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2016-03-01,2016-05-01,61 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2016-06-01,2016-07-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2016-12-01,2017-01-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2017-02-01,2017-04-01,59 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2018-01-01,2018-02-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2018-05-01,2018-07-01,61 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2018-09-01,2018-10-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2022-01-01,2022-02-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2022-08-01,2022-10-01,61 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2023-04-01,2023-07-01,91 days
"Columbia-Sanborn Field, Boone County, MO",-1.3,2023-11-01,2023-12-01,30 days
"Columbia-South Farms, Boone County, MO",-1.3,2000-05-01,2000-06-01,31 days
"Columbia-South Farms, Boone County, MO",-1.3,2003-01-01,2003-02-01,31 days
"Columbia-South Farms, Boone County, MO",-1.3,2006-02-01,2006-03-01,28 days
"Columbia-South Farms, Boone County, MO",-1.3,2007-09-01,2007-11-01,61 days
"Columbia-South Farms, Boone County, MO",-1.3,2011-10-01,2011-11-01,31 days
"Columbia-South Farms, Boone County, MO",-1.3,2012-07-01,2012-10-01,92 days
"Columbia-South Farms, Boone County, MO",-1.3,2013-08-01,2013-10-01,61 days
"Columbia-South Farms, Boone County, MO",-1.3,2014-02-01,2014-04-01,59 days
"Columbia-South Farms, Boone County, MO",-1.3,2015-03-01,2015-05-01,61 days
"Columbia-South Farms, Boone County, MO",-1.3,2015-10-01,2015-11-01,31 days
"Columbia-South Farms, Boone County, MO",-1.3,2016-03-01,2016-07-01,122 days
"Columbia-South Farms, Boone County, MO",-1.3,2017-02-01,2017-03-01,28 days
"Columbia-South Farms, Boone County, MO",-1.3,2018-01-01,2018-02-01,31 days
"Columbia-South Farms, Boone County, MO",-1.3,2018-05-01,2018-07-01,61 days
"Columbia-South Farms, Boone County, MO",-1.3,2022-08-01,2022-09-01,31 days
"Columbia-South Farms, Boone County, MO",-1.3,2023-05-01,2023-07-01,61 days
"Columbia-South Farms, Boone County, MO",-1.3,2023-11-01,2023-12-01,30 days
"Cook Station, Crawford County, MO",-1.3,2000-04-01,2000-07-01,91 days
"Cook Station, Crawford County, MO",-1.3,2003-01-01,2003-02-01,31 days
"Cook Station, Crawford County, MO",-1.3,2004-09-01,2004-10-01,30 days
"Cook Station, Crawford County, MO",-1.3,2005-05-01,2005-06-01,31 days
"Cook Station, Crawford County, MO",-1.3,2006-02-01,2006-03-01,28 days
"Cook Station, Crawford County, MO",-1.3,2006-08-01,2006-09-01,31 days
"Cook Station, Crawford County, MO",-1.3,2012-05-01,2012-09-01,123 days
"Cook Station, Crawford County, MO",-1.3,2014-02-01,2014-05-01,89 days
"Cook Station, Crawford County, MO",-1.3,2014-07-01,2014-10-01,92 days
"Cook Station, Crawford County, MO",-1.3,2015-10-01,2015-11-01,31 days
"Cook Station, Crawford County, MO",-1.3,2016-12-01,2017-03-01,90 days
"Cook Station, Crawford County, MO",-1.3,2017-08-01,2018-02-01,184 days
"Cook Station, Crawford County, MO",-1.3,2023-06-01,2023-07-01,30 days
"Cook Station, Crawford County, MO",-1.3,2023-11-01,2024-01-01,61 days
"Corning, Atchison County, MO",-1.3,2000-05-01,2000-06-01,31 days
"Corning, Atchison County, MO",-1.3,2002-06-01,2002-07-01,30 days
"Corning, Atchison County, MO",-1.3,2002-08-01,2002-09-01,31 days
"Corning, Atchison County, MO",-1.3,2003-01-01,2003-03-01,59 days
"Corning, Atchison County, MO",-1.3,2003-09-01,2003-11-01,61 days
"Corning, Atchison County, MO",-1.3,2004-11-01,2005-01-01,61 days
"Corning, Atchison County, MO",-1.3,2006-06-01,2006-08-01,61 days
"Corning, Atchison County, MO",-1.3,2010-12-01,2011-01-01,31 days
"Corning, Atchison County, MO",-1.3,2011-02-01,2011-04-01,59 days
"Corning, Atchison County, MO",-1.3,2011-11-01,2011-12-01,30 days
"Corning, Atchison County, MO",-1.3,2012-06-01,2012-08-01,61 days
"Corning, Atchison County, MO",-1.3,2013-08-01,2013-09-01,31 days
"Corning, Atchison County, MO",-1.3,2013-12-01,2014-02-01,62 days
"Corning, Atchison County, MO",-1.3,2014-03-01,2014-06-01,92 days
"Corning, Atchison County, MO",-1.3,2016-12-01,2017-01-01,31 days
"Corning, Atchison County, MO",-1.3,2017-07-01,2017-09-01,62 days
"Corning, Atchison County, MO",-1.3,2018-01-01,2018-02-01,31 days
"Corning, Atchison County, MO",-1.3,2018-04-01,2018-08-01,122 days
"Corning, Atchison County, MO",-1.3,2020-10-01,2020-11-01,31 days
"Corning, Atchison County, MO",-1.3,2022-02-01,2022-03-01,28 days
"Corning, Atchison County, MO",-1.3,2022-09-01,2022-11-01,61 days
"Corning, Atchison County, MO",-1.3,2023-06-01,2023-07-01,30 days
"Delta, Cape Girardeau County, MO",-1.3,2000-05-01,2000-06-01,31 days
"Delta, Cape Girardeau County, MO",-1.3,2001-05-01,2001-07-01,61 days
"Delta, Cape Girardeau County, MO",-1.3,2003-03-01,2003-04-01,31 days
"Delta, Cape Girardeau County, MO",-1.3,2004-02-01,2004-03-01,29 days
"Delta, Cape Girardeau County, MO",-1.3,2007-07-01,2007-10-01,92 days
"Delta, Cape Girardeau County, MO",-1.3,2009-01-01,2009-02-01,31 days
"Delta, Cape Girardeau County, MO",-1.3,2010-08-01,2010-09-01,31 days
"Delta, Cape Girardeau County, MO",-1.3,2011-01-01,2011-03-01,59 days
"Delta, Cape Girardeau County, MO",-1.3,2012-04-01,2012-08-01,122 days
"Delta, Cape Girardeau County, MO",-1.3,2014-03-01,2014-04-01,31 days
"Delta, Cape Girardeau County, MO",-1.3,2015-10-01,2015-11-01,31 days
"Delta, Cape Girardeau County, MO",-1.3,2017-09-01,2017-12-01,91 days
"Delta, Cape Girardeau County, MO",-1.3,2018-01-01,2018-02-01,31 days
