location,duration
"Albany, Gentry County, MO",3.3846153846153846
"Auxvasse, Audrain County, MO",3.9411764705882355
"Brunswick, Carroll County, MO",3.611111111111111
"Cardwell, Dunklin County, MO",3.3421052631578947
"Charleston, Mississippi County, MO",3.3684210526315788
"Clarkton, Dunklin County, MO",3.9696969696969697
"Columbia-Sanborn Field, Boone County, MO",4.7407407407407405
"Columbia-South Farms, Boone County, MO",4.2
"Cook Station, Crawford County, MO",3.6944444444444446
"Corning, Atchison County, MO",3.048780487804878
"Delta, Cape Girardeau County, MO",4.235294117647059
"Glennonville, Dunklin County, MO",4.0606060606060606
"Hayward, Pemiscot County, MO",3.75
"Lamar, Barton County, MO",3.8
"Linneus, Linn County, MO",3.263157894736842
"Monroe City, Monroe County, MO",3.5945945945945947
"Novelty, Knox County, MO",3.8857142857142857
"Portageville, Pemiscot County, MO",3.9696969696969697
"St. Joseph, Buchanan County, MO",2.8048780487804876
