location,duration
"Albany, Gentry County, MO",140
"Auxvasse, Audrain County, MO",150
"Brunswick, Carroll County, MO",140
"Cardwell, Dunklin County, MO",140
"Charleston, Mississippi County, MO",143
"Clarkton, Dunklin County, MO",144
"Columbia-Sanborn Field, Boone County, MO",142
"Columbia-South Farms, Boone County, MO",141
"Cook Station, Crawford County, MO",140
"Corning, Atchison County, MO",147
"Delta, Cape Girardeau County, MO",145
"Glennonville, Dunklin County, MO",144
"Hayward, Pemiscot County, MO",144
"Lamar, Barton County, MO",145
"Linneus, Linn County, MO",142
"Monroe City, Monroe County, MO",152
"Novelty, Knox County, MO",149
"Portageville, Pemiscot County, MO",141
"St. Joseph, Buchanan County, MO",146
