location,duration
"Albany, Gentry County, MO",42
"Auxvasse, Audrain County, MO",38
"Brunswick, Carroll County, MO",41
"Cardwell, Dunklin County, MO",38
"Charleston, Mississippi County, MO",40
"Clarkton, Dunklin County, MO",37
"Columbia-Sanborn Field, Boone County, MO",41
"Columbia-South Farms, Boone County, MO",40
"Cook Station, Crawford County, MO",39
"Corning, Atchison County, MO",35
"Delta, Cape Girardeau County, MO",35
"Glennonville, Dunklin County, MO",37
"Hayward, Pemiscot County, MO",39
"Lamar, Barton County, MO",37
"Linneus, Linn County, MO",32
"Monroe City, Monroe County, MO",39
"Novelty, Knox County, MO",29
"Portageville, Pemiscot County, MO",42
"St. Joseph, Buchanan County, MO",36
