location,SPI,frequency
"Albany, Gentry County, MO",-0.6,88
"Auxvasse, Audrain County, MO",-0.6,79
"Brunswick, Carroll County, MO",-0.6,78
"Cardwell, Dunklin County, MO",-0.6,73
"Charleston, Mississippi County, MO",-0.6,87
"Clarkton, Dunklin County, MO",-0.6,86
"Columbia-Sanborn Field, Boone County, MO",-0.6,79
"Columbia-South Farms, Boone County, MO",-0.6,86
"Cook Station, Crawford County, MO",-0.6,79
"Corning, Atchison County, MO",-0.6,87
"Delta, Cape Girardeau County, MO",-0.6,84
"Glennonville, Dunklin County, MO",-0.6,89
"Hayward, Pemiscot County, MO",-0.6,87
"Lamar, Barton County, MO",-0.6,87
"Linneus, Linn County, MO",-0.6,80
"Monroe City, Monroe County, MO",-0.6,83
"Novelty, Knox County, MO",-0.6,82
"Portageville, Pemiscot County, MO",-0.6,81
"St. Joseph, Buchanan County, MO",-0.6,82
