location,SPI,frequency
"Albany, Gentry County, MO",0.0,148
"Auxvasse, Audrain County, MO",0.0,162
"Brunswick, Carroll County, MO",0.0,149
"Cardwell, Dunklin County, MO",0.0,145
"Charleston, Mississippi County, MO",0.0,144
"Clarkton, Dunklin County, MO",0.0,154
"Columbia-Sanborn Field, Boone County, MO",0.0,150
"Columbia-South Farms, Boone County, MO",0.0,144
"Cook Station, Crawford County, MO",0.0,145
"Corning, Atchison County, MO",0.0,147
"Delta, Cape Girardeau County, MO",0.0,156
"Glennonville, Dunklin County, MO",0.0,150
"Hayward, Pemiscot County, MO",0.0,140
"Lamar, Barton County, MO",0.0,144
"Linneus, Linn County, MO",0.0,140
"Monroe City, Monroe County, MO",0.0,157
"Novelty, Knox County, MO",0.0,153
"Portageville, Pemiscot County, MO",0.0,150
"St. Joseph, Buchanan County, MO",0.0,137
