location,SPI,start_date,end_date,duration
"Albany, Gentry County, MO",0.0,2,12,10
"Albany, Gentry County, MO",0.0,16,17,1
"Albany, Gentry County, MO",0.0,21,48,27
"Albany, Gentry County, MO",0.0,58,61,3
"Albany, Gentry County, MO",0.0,64,71,7
"Albany, Gentry County, MO",0.0,73,79,6
"Albany, Gentry County, MO",0.0,84,85,1
"Albany, Gentry County, MO",0.0,87,88,1
"Albany, Gentry County, MO",0.0,89,92,3
"Albany, Gentry County, MO",0.0,94,95,1
"Albany, Gentry County, MO",0.0,96,97,1
"Albany, Gentry County, MO",0.0,103,104,1
"Albany, Gentry County, MO",0.0,108,110,2
"Albany, Gentry County, MO",0.0,116,117,1
"Albany, Gentry County, MO",0.0,121,123,2
"Albany, Gentry County, MO",0.0,127,128,1
"Albany, Gentry County, MO",0.0,131,136,5
"Albany, Gentry County, MO",0.0,137,143,6
"Albany, Gentry County, MO",0.0,148,156,8
"Albany, Gentry County, MO",0.0,158,159,1
"Albany, Gentry County, MO",0.0,162,166,4
"Albany, Gentry County, MO",0.0,167,173,6
"Albany, Gentry County, MO",0.0,180,185,5
"Albany, Gentry County, MO",0.0,189,190,1
"Albany, Gentry County, MO",0.0,194,195,1
"Albany, Gentry County, MO",0.0,203,205,2
"Albany, Gentry County, MO",0.0,212,215,3
"Albany, Gentry County, MO",0.0,216,224,8
"Albany, Gentry County, MO",0.0,239,240,1
"Albany, Gentry County, MO",0.0,243,244,1
"Albany, Gentry County, MO",0.0,245,246,1
"Albany, Gentry County, MO",0.0,249,252,3
"Albany, Gentry County, MO",0.0,253,254,1
"Albany, Gentry County, MO",0.0,255,258,3
"Albany, Gentry County, MO",0.0,259,262,3
"Albany, Gentry County, MO",0.0,265,266,1
"Albany, Gentry County, MO",0.0,271,275,4
"Albany, Gentry County, MO",0.0,279,283,4
"Albany, Gentry County, MO",0.0,286,288,2
"Albany, Gentry County, MO",0.0,290,292,2
"Auxvasse, Audrain County, MO",0.0,2,6,4
"Auxvasse, Audrain County, MO",0.0,10,13,3
"Auxvasse, Audrain County, MO",0.0,16,17,1
"Auxvasse, Audrain County, MO",0.0,19,21,2
"Auxvasse, Audrain County, MO",0.0,25,28,3
"Auxvasse, Audrain County, MO",0.0,31,40,9
"Auxvasse, Audrain County, MO",0.0,42,45,3
"Auxvasse, Audrain County, MO",0.0,51,52,1
"Auxvasse, Audrain County, MO",0.0,53,55,2
"Auxvasse, Audrain County, MO",0.0,63,69,6
"Auxvasse, Audrain County, MO",0.0,70,74,4
"Auxvasse, Audrain County, MO",0.0,75,84,9
"Auxvasse, Audrain County, MO",0.0,86,96,10
"Auxvasse, Audrain County, MO",0.0,107,111,4
"Auxvasse, Audrain County, MO",0.0,131,143,12
"Auxvasse, Audrain County, MO",0.0,146,147,1
"Auxvasse, Audrain County, MO",0.0,148,156,8
"Auxvasse, Audrain County, MO",0.0,163,173,10
"Auxvasse, Audrain County, MO",0.0,174,177,3
"Auxvasse, Audrain County, MO",0.0,180,185,5
"Auxvasse, Audrain County, MO",0.0,188,190,2
"Auxvasse, Audrain County, MO",0.0,194,198,4
"Auxvasse, Audrain County, MO",0.0,202,207,5
"Auxvasse, Audrain County, MO",0.0,210,218,8
"Auxvasse, Audrain County, MO",0.0,219,225,6
"Auxvasse, Audrain County, MO",0.0,230,231,1
"Auxvasse, Audrain County, MO",0.0,238,240,2
"Auxvasse, Audrain County, MO",0.0,249,250,1
"Auxvasse, Audrain County, MO",0.0,251,254,3
"Auxvasse, Audrain County, MO",0.0,260,261,1
"Auxvasse, Audrain County, MO",0.0,264,267,3
"Auxvasse, Audrain County, MO",0.0,269,277,8
"Auxvasse, Audrain County, MO",0.0,279,288,9
"Auxvasse, Audrain County, MO",0.0,290,292,2
"Brunswick, Carroll County, MO",0.0,2,6,4
"Brunswick, Carroll County, MO",0.0,8,12,4
"Brunswick, Carroll County, MO",0.0,23,28,5
"Brunswick, Carroll County, MO",0.0,32,44,12
"Brunswick, Carroll County, MO",0.0,50,52,2
"Brunswick, Carroll County, MO",0.0,53,54,1
"Brunswick, Carroll County, MO",0.0,63,67,4
"Brunswick, Carroll County, MO",0.0,71,76,5
"Brunswick, Carroll County, MO",0.0,77,80,3
"Brunswick, Carroll County, MO",0.0,82,83,1
"Brunswick, Carroll County, MO",0.0,84,89,5
"Brunswick, Carroll County, MO",0.0,91,97,6
"Brunswick, Carroll County, MO",0.0,108,110,2
"Brunswick, Carroll County, MO",0.0,114,115,1
"Brunswick, Carroll County, MO",0.0,121,123,2
"Brunswick, Carroll County, MO",0.0,131,135,4
"Brunswick, Carroll County, MO",0.0,136,138,2
"Brunswick, Carroll County, MO",0.0,139,143,4
"Brunswick, Carroll County, MO",0.0,148,156,8
"Brunswick, Carroll County, MO",0.0,162,175,13
"Brunswick, Carroll County, MO",0.0,180,184,4
"Brunswick, Carroll County, MO",0.0,188,190,2
"Brunswick, Carroll County, MO",0.0,194,198,4
"Brunswick, Carroll County, MO",0.0,202,207,5
