location,SPI,start_date,end_date,duration
"Albany, Gentry County, MO",-1.7,32,41,9
"Albany, Gentry County, MO",-1.7,43,44,1
"Albany, Gentry County, MO",-1.7,45,47,2
"Albany, Gentry County, MO",-1.7,158,159,1
"Albany, Gentry County, MO",-1.7,172,173,1
"Albany, Gentry County, MO",-1.7,221,223,2
"Auxvasse, Audrain County, MO",-1.7,73,74,1
"Auxvasse, Audrain County, MO",-1.7,172,173,1
"Auxvasse, Audrain County, MO",-1.7,281,283,2
"Auxvasse, Audrain County, MO",-1.7,286,287,1
"Auxvasse, Audrain County, MO",-1.7,289,291,2
"Brunswick, Carroll County, MO",-1.7,158,159,1
"Brunswick, Carroll County, MO",-1.7,171,174,3
"Brunswick, Carroll County, MO",-1.7,221,223,2
"Brunswick, Carroll County, MO",-1.7,271,276,5
"Brunswick, Carroll County, MO",-1.7,281,283,2
"Brunswick, Carroll County, MO",-1.7,289,291,2
"Cardwell, Dunklin County, MO",-1.7,16,21,5
"Cardwell, Dunklin County, MO",-1.7,73,81,8
"Cardwell, Dunklin County, MO",-1.7,129,130,1
"Cardwell, Dunklin County, MO",-1.7,131,134,3
"Cardwell, Dunklin County, MO",-1.7,155,156,1
"Charleston, Mississippi County, MO",-1.7,15,21,6
"Charleston, Mississippi County, MO",-1.7,54,59,5
"Charleston, Mississippi County, MO",-1.7,73,74,1
"Charleston, Mississippi County, MO",-1.7,129,130,1
"Charleston, Mississippi County, MO",-1.7,132,133,1
"Charleston, Mississippi County, MO",-1.7,155,156,1
"Charleston, Mississippi County, MO",-1.7,158,159,1
"Clarkton, Dunklin County, MO",-1.7,16,20,4
"Clarkton, Dunklin County, MO",-1.7,56,57,1
"Clarkton, Dunklin County, MO",-1.7,71,72,1
"Clarkton, Dunklin County, MO",-1.7,73,74,1
"Clarkton, Dunklin County, MO",-1.7,75,76,1
"Clarkton, Dunklin County, MO",-1.7,97,98,1
"Clarkton, Dunklin County, MO",-1.7,129,130,1
"Clarkton, Dunklin County, MO",-1.7,131,135,4
"Clarkton, Dunklin County, MO",-1.7,155,156,1
"Clarkton, Dunklin County, MO",-1.7,158,159,1
"Columbia-Sanborn Field, Boone County, MO",-1.7,155,156,1
"Columbia-Sanborn Field, Boone County, MO",-1.7,158,160,2
"Columbia-Sanborn Field, Boone County, MO",-1.7,172,173,1
"Columbia-Sanborn Field, Boone County, MO",-1.7,279,283,4
"Columbia-Sanborn Field, Boone County, MO",-1.7,285,291,6
"Columbia-South Farms, Boone County, MO",-1.7,155,156,1
"Columbia-South Farms, Boone County, MO",-1.7,158,160,2
"Columbia-South Farms, Boone County, MO",-1.7,172,173,1
"Columbia-South Farms, Boone County, MO",-1.7,222,225,3
"Columbia-South Farms, Boone County, MO",-1.7,279,282,3
"Cook Station, Crawford County, MO",-1.7,11,15,4
"Cook Station, Crawford County, MO",-1.7,148,152,4
"Cook Station, Crawford County, MO",-1.7,155,156,1
"Cook Station, Crawford County, MO",-1.7,175,184,9
"Corning, Atchison County, MO",-1.7,32,33,1
