location,duration
"Albany, Gentry County, MO",27
"Auxvasse, Audrain County, MO",33
"Brunswick, Carroll County, MO",14
"Cardwell, Dunklin County, MO",18
"Charleston, Mississippi County, MO",16
"Clarkton, Dunklin County, MO",16
"Columbia-Sanborn Field, Boone County, MO",24
"Columbia-South Farms, Boone County, MO",24
"Cook Station, Crawford County, MO",17
"Corning, Atchison County, MO",15
"Delta, Cape Girardeau County, MO",18
"Glennonville, Dunklin County, MO",16
"Hayward, Pemiscot County, MO",17
"Lamar, Barton County, MO",22
"Linneus, Linn County, MO",23
"Monroe City, Monroe County, MO",21
"Novelty, Knox County, MO",23
"Portageville, Pemiscot County, MO",16
"St. Joseph, Buchanan County, MO",27
