location,duration
"Albany, Gentry County, MO",9
"Auxvasse, Audrain County, MO",2
"Brunswick, Carroll County, MO",5
"Cardwell, Dunklin County, MO",8
"Charleston, Mississippi County, MO",6
"Clarkton, Dunklin County, MO",4
"Columbia-Sanborn Field, Boone County, MO",6
"Columbia-South Farms, Boone County, MO",3
"Cook Station, Crawford County, MO",9
"Corning, Atchison County, MO",4
"Delta, Cape Girardeau County, MO",6
"Glennonville, Dunklin County, MO",5
"Hayward, Pemiscot County, MO",6
"Lamar, Barton County, MO",7
"Linneus, Linn County, MO",4
"Monroe City, Monroe County, MO",3
"Novelty, Knox County, MO",6
"Portageville, Pemiscot County, MO",8
"St. Joseph, Buchanan County, MO",7
