location,Fall,Spring,Summer,Winter,most_frequent_season,has_equal_max_columns
"Albany, Gentry County, MO",9,11,7,12,Winter,False
"Auxvasse, Audrain County, MO",8,11,8,7,Spring,False
"Brunswick, Carroll County, MO",9,10,7,10,Tie,True
"Cardwell, Dunklin County, MO",11,12,6,9,Spring,False
"Charleston, Mississippi County, MO",10,10,12,6,Summer,False
"Clarkton, Dunklin County, MO",9,10,8,6,Spring,False
"Columbia-Sanborn Field, Boone County, MO",7,5,8,7,Summer,False
"Columbia-South Farms, Boone County, MO",7,7,8,8,Tie,True
"Cook Station, Crawford County, MO",10,8,8,10,Tie,True
"Corning, Atchison County, MO",12,9,10,10,Fall,False
"Delta, Cape Girardeau County, MO",10,7,8,9,Fall,False
"Glennonville, Dunklin County, MO",13,10,7,3,Fall,False
"Hayward, Pemiscot County, MO",9,9,8,6,Tie,True
"Lamar, Barton County, MO",11,12,5,7,Spring,False
"Linneus, Linn County, MO",13,10,5,10,Fall,False
"Monroe City, Monroe County, MO",10,11,6,10,Spring,False
"Novelty, Knox County, MO",5,10,10,10,Tie,True
"Portageville, Pemiscot County, MO",9,10,8,6,Spring,False
"St. Joseph, Buchanan County, MO",9,12,8,12,Tie,True
