location,Fall,Spring,Summer,Winter,most_frequent_season,has_equal_max_columns
"Albany, Gentry County, MO",3,9,7,8,Spring,False
"Auxvasse, Audrain County, MO",5,7,6,5,Spring,False
"Brunswick, Carroll County, MO",2,6,10,8,Summer,False
"Cardwell, Dunklin County, MO",8,7,6,5,Fall,False
"Charleston, Mississippi County, MO",8,9,5,2,Spring,False
"Clarkton, Dunklin County, MO",9,6,6,5,Fall,False
"Columbia-Sanborn Field, Boone County, MO",3,5,6,8,Winter,False
"Columbia-South Farms, Boone County, MO",4,6,4,6,Tie,True
"Cook Station, Crawford County, MO",6,8,4,11,Winter,False
"Corning, Atchison County, MO",2,7,12,11,Summer,False
"Delta, Cape Girardeau County, MO",6,6,2,7,Winter,False
"Glennonville, Dunklin County, MO",7,5,8,3,Summer,False
"Hayward, Pemiscot County, MO",9,6,4,3,Fall,False
"Lamar, Barton County, MO",6,7,7,10,Winter,False
"Linneus, Linn County, MO",3,11,5,6,Spring,False
"Monroe City, Monroe County, MO",4,10,4,7,Spring,False
"Novelty, Knox County, MO",5,12,5,4,Spring,False
"Portageville, Pemiscot County, MO",6,5,4,3,Fall,False
"St. Joseph, Buchanan County, MO",5,9,9,10,Winter,False
