location,SPI,frequency
"Albany, Gentry County, MO",-2.0,1.6666666666666667
"Auxvasse, Audrain County, MO",-2.0,2.0
"Brunswick, Carroll County, MO",-2.0,2.0
"Cardwell, Dunklin County, MO",-2.0,2.0
"Charleston, Mississippi County, MO",-2.0,1.1666666666666667
"Clarkton, Dunklin County, MO",-2.0,2.25
"Columbia-Sanborn Field, Boone County, MO",-2.0,1.5
"Columbia-South Farms, Boone County, MO",-2.0,1.5
"Cook Station, Crawford County, MO",-2.0,1.2222222222222223
"Corning, Atchison County, MO",-2.0,3.0
"Delta, Cape Girardeau County, MO",-2.0,2.6666666666666665
"Glennonville, Dunklin County, MO",-2.0,1.6666666666666667
"Hayward, Pemiscot County, MO",-2.0,1.7142857142857142
"Lamar, Barton County, MO",-2.0,1.4
"Linneus, Linn County, MO",-2.0,1.3333333333333333
"Monroe City, Monroe County, MO",-2.0,1.3333333333333333
"Novelty, Knox County, MO",-2.0,1.6666666666666667
"Portageville, Pemiscot County, MO",-2.0,1.8
"St. Joseph, Buchanan County, MO",-2.0,1.75
