location,SPI,frequency
"Albany, Gentry County, MO",0.0,6.434782608695652
"Auxvasse, Audrain County, MO",0.0,6.909090909090909
"Brunswick, Carroll County, MO",0.0,5.56
"Cardwell, Dunklin County, MO",0.0,6.208333333333333
"Charleston, Mississippi County, MO",0.0,5.153846153846154
"Clarkton, Dunklin County, MO",0.0,5.75
"Columbia-Sanborn Field, Boone County, MO",0.0,5.833333333333333
"Columbia-South Farms, Boone County, MO",0.0,5.75
"Cook Station, Crawford County, MO",0.0,4.964285714285714
"Corning, Atchison County, MO",0.0,6.954545454545454
"Delta, Cape Girardeau County, MO",0.0,6.3478260869565215
"Glennonville, Dunklin County, MO",0.0,6.260869565217392
"Hayward, Pemiscot County, MO",0.0,5.1923076923076925
"Lamar, Barton County, MO",0.0,5.84
"Linneus, Linn County, MO",0.0,6.375
"Monroe City, Monroe County, MO",0.0,6.391304347826087
"Novelty, Knox County, MO",0.0,6.16
"Portageville, Pemiscot County, MO",0.0,5.44
"St. Joseph, Buchanan County, MO",0.0,4.821428571428571
