location,Fall,Spring,Summer,Winter,most_frequent_season,has_equal_max_columns
"Albany, Gentry County, MO",0,1,1,0,Tie,True
"Auxvasse, Audrain County, MO",0,0,1,0,Summer,False
"Brunswick, Carroll County, MO",1,1,1,0,Tie,True
"Columbia-South Farms, Boone County, MO",0,1,1,0,Tie,True
"Cook Station, Crawford County, MO",0,0,1,1,Tie,True
"Hayward, Pemiscot County, MO",1,0,0,1,Tie,True
"Linneus, Linn County, MO",1,0,0,0,Fall,False
"Novelty, Knox County, MO",0,0,1,0,Summer,False
"Portageville, Pemiscot County, MO",0,0,1,1,Tie,True
"St. Joseph, Buchanan County, MO",0,1,0,0,Spring,False
