location,Fall,Spring,Summer,Winter,most_frequent_season,has_equal_max_columns
"Albany, Gentry County, MO",1,5,6,3,Summer,False
"Auxvasse, Audrain County, MO",1,4,4,3,Tie,True
"Brunswick, Carroll County, MO",1,7,5,0,Spring,False
"Cardwell, Dunklin County, MO",4,6,9,7,Summer,False
"Charleston, Mississippi County, MO",5,7,3,5,Spring,False
"Clarkton, Dunklin County, MO",7,3,2,4,Fall,False
"Columbia-Sanborn Field, Boone County, MO",3,4,2,2,Spring,False
"Columbia-South Farms, Boone County, MO",2,4,5,2,Summer,False
"Cook Station, Crawford County, MO",4,4,0,2,Tie,True
"Corning, Atchison County, MO",4,6,6,3,Tie,True
"Delta, Cape Girardeau County, MO",2,7,5,3,Spring,False
"Glennonville, Dunklin County, MO",5,4,6,4,Summer,False
"Hayward, Pemiscot County, MO",7,4,2,3,Fall,False
"Lamar, Barton County, MO",3,5,4,2,Spring,False
"Linneus, Linn County, MO",4,6,6,2,Tie,True
"Monroe City, Monroe County, MO",5,5,2,1,Tie,True
"Novelty, Knox County, MO",2,6,5,3,Spring,False
"Portageville, Pemiscot County, MO",7,5,3,5,Fall,False
"St. Joseph, Buchanan County, MO",3,3,3,2,Tie,True
